Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = -0.3
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = -0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
 170 3E+02 4.9717E-08 1.1306E-05 6.1330E-01 
 170 3E+03 4.9710E-07 8.8212E-05 3.2858E-01 
 170 1E+04 1.6568E-06 2.6855E-04 2.9918E-01 
 170 3E+04 4.9696E-06 7.2509E-04 2.5142E-01 
 170 1E+05 1.6565E-05 2.2596E-03 2.4062E-01 
 170 3E+05 4.9696E-05 6.5775E-03 2.6373E-01 
 170 1E+06 1.6565E-04 2.0824E-02 2.6422E-01 
 170 3E+06 4.9695E-04 6.0213E-02 3.0625E-01 
 170 1E+07 1.6565E-03 1.9244E-01 4.6959E-01 
 170 3E+07 4.9695E-03 5.2734E-01 9.3526E-01 
 170 1E+08 1.6563E-02 1.4332E+00 2.4938E+00 
 180 3E+02 4.7003E-08 1.3690E-05 3.1377E+00 
 180 3E+03 4.6953E-07 9.3779E-05 6.1781E-01 
 180 1E+04 1.5650E-06 2.7411E-04 3.9848E-01 
 180 3E+04 4.6948E-06 7.5817E-04 3.3685E-01 
 180 1E+05 1.5646E-05 2.2567E-03 2.7249E-01 
 180 3E+05 4.6934E-05 6.1499E-03 2.5286E-01 
 180 1E+06 1.5645E-04 1.8997E-02 2.6454E-01 
 180 3E+06 4.6934E-04 5.3875E-02 3.0928E-01 
 180 1E+07 1.5645E-03 1.7079E-01 4.7696E-01 
 180 3E+07 4.6934E-03 4.5997E-01 9.2137E-01 
 180 1E+08 1.5645E-02 1.3136E+00 2.5076E+00 
 190 3E+02 4.4589E-08 1.4550E-05 5.2367E+00 
 190 3E+03 4.4508E-07 1.0481E-04 1.8061E+00 
 190 1E+04 1.4829E-06 2.8651E-04 7.3242E-01 
 190 3E+04 4.4480E-06 7.5136E-04 4.4628E-01 
 190 1E+05 1.4826E-05 2.2419E-03 3.5990E-01 
 190 3E+05 4.4474E-05 6.0913E-03 3.2514E-01 
 190 1E+06 1.4822E-04 1.7339E-02 2.8534E-01 
 190 3E+06 4.4464E-04 4.7105E-02 3.1732E-01 
 190 1E+07 1.4821E-03 1.4517E-01 4.7087E-01 
 190 3E+07 4.4464E-03 3.8865E-01 9.1024E-01 
 190 1E+08 1.4822E-02 1.1171E+00 2.4711E+00 
 200 3E+02 4.2359E-08 1.3907E-05 3.3885E+00 
 200 3E+03 4.2358E-07 1.1553E-04 4.3631E+00 
 200 1E+04 1.4099E-06 3.1721E-04 2.2263E+00 
 200 3E+04 4.2267E-06 7.8352E-04 9.0809E-01 
 200 1E+05 1.4085E-05 2.1950E-03 5.0011E-01 
 200 3E+05 4.2253E-05 5.7578E-03 3.9493E-01 
 200 1E+06 1.4084E-04 1.6628E-02 3.7122E-01 
 200 3E+06 4.2243E-04 4.2095E-02 3.7031E-01 
 200 1E+07 1.4080E-03 1.2189E-01 4.7693E-01 
 200 3E+07 4.2240E-03 3.2363E-01 9.1118E-01 
 200 1E+08 1.4080E-02 9.0473E-01 2.3925E+00 
 250 3E+02 3.3887E-08 1.0151E-05 3.3640E+00 
 250 3E+03 3.3887E-07 7.0058E-05 3.4996E+00 
 250 1E+04 1.1296E-06 2.1502E-04 3.4085E+00 
 250 3E+04 3.3887E-06 6.1557E-04 3.2162E+00 
 250 1E+05 1.1296E-05 1.9532E-03 3.1149E+00 
 250 3E+05 3.3887E-05 5.4737E-03 3.1155E+00 
 250 1E+06 1.1296E-04 1.5940E-02 3.1271E+00 
 250 3E+06 3.3859E-04 3.6191E-02 2.2801E+00 
 250 1E+07 1.1273E-03 7.6515E-02 1.1328E+00 
 250 3E+07 3.3808E-03 1.5762E-01 1.1162E+00 
 250 1E+08 1.1268E-02 3.7244E-01 2.2028E+00 
 275 3E+02 3.0807E-08 8.9990E-06 3.5189E+00 
 275 3E+03 3.0807E-07 5.9661E-05 3.1465E+00 
 275 1E+04 1.0269E-06 1.8060E-04 2.9086E+00 
 275 3E+04 3.0807E-06 5.1056E-04 2.7921E+00 
 275 1E+05 1.0269E-05 1.5965E-03 2.8063E+00 
 275 3E+05 3.0807E-05 4.4027E-03 2.8137E+00 
 275 1E+06 1.0269E-04 1.2503E-02 2.8241E+00 
 275 3E+06 3.0807E-04 3.0190E-02 2.8553E+00 
 275 1E+07 1.0269E-03 7.4785E-02 2.9655E+00 
 275 3E+07 3.0777E-03 1.4985E-01 2.4037E+00 
 275 1E+08 1.0248E-02 3.0784E-01 2.4539E+00 
 275 3E+08 3.0734E-02 6.4696E-01 5.2649E+00 
 300 3E+02 2.8239E-08 8.4423E-06 2.3613E+00 
 300 3E+03 2.8239E-07 5.4751E-05 2.3172E+00 
 300 1E+04 9.4129E-07 1.6369E-04 2.3815E+00 
 300 3E+04 2.8239E-06 4.5709E-04 2.5303E+00 
 300 1E+05 9.4129E-06 1.4080E-03 2.5877E+00 
 300 3E+05 2.8239E-05 3.8187E-03 2.5910E+00 
 300 1E+06 9.4129E-05 1.0598E-02 2.6002E+00 
 300 3E+06 2.8239E-04 2.4813E-02 2.6283E+00 
 300 1E+07 9.4129E-04 5.8581E-02 2.7272E+00 
 300 3E+07 2.8239E-03 1.2326E-01 3.0075E+00 
 300 1E+08 9.4129E-03 2.8335E-01 3.9883E+00 
 300 3E+08 2.8196E-02 5.6035E-01 5.5301E+00 
 400 3E+02 2.1178E-08 1.2382E-05 1.1751E+00 
 400 3E+03 2.1179E-07 7.7852E-05 1.4927E+00 
 400 1E+04 7.0599E-07 2.0330E-04 1.7698E+00 
 400 3E+04 2.1180E-06 5.2049E-04 1.9727E+00 
 400 1E+05 7.0599E-06 1.4923E-03 2.0759E+00 
 400 3E+05 2.1180E-05 3.7903E-03 2.0874E+00 
 400 1E+06 7.0599E-05 9.7099E-03 2.0936E+00 
 400 3E+06 2.1180E-04 2.0849E-02 2.1126E+00 
 400 1E+07 7.0599E-04 4.3308E-02 2.1796E+00 
 400 3E+07 2.1180E-03 8.1809E-02 2.3699E+00 
 400 1E+08 7.0599E-03 1.7165E-01 3.0348E+00 
 400 3E+08 2.1180E-02 3.6540E-01 4.9341E+00 
 500 3E+02 1.6942E-08 3.2394E-05 1.5849E+00 
 500 3E+03 1.6942E-07 1.8182E-04 1.5869E+00 
 500 1E+04 5.6475E-07 4.7967E-04 1.5976E+00 
 500 3E+04 1.6943E-06 1.2206E-03 1.6517E+00 
 500 1E+05 5.6479E-06 3.3888E-03 1.7519E+00 
 500 3E+05 1.6944E-05 7.9690E-03 1.7933E+00 
 500 1E+06 5.6479E-05 1.8035E-02 1.8041E+00 
 500 3E+06 1.6944E-04 3.3546E-02 1.8185E+00 
 500 1E+07 5.6479E-04 5.7812E-02 1.8683E+00 
 500 3E+07 1.6944E-03 9.1555E-02 2.0093E+00 
 500 1E+08 5.6479E-03 1.5608E-01 2.5017E+00 
 500 3E+08 1.6944E-02 3.1885E-01 3.9091E+00 
 650 3E+02 1.3032E-08 1.3139E-04 1.2554E+00 
 650 3E+03 1.3033E-07 5.2156E-04 1.3189E+00 
 650 1E+04 4.3442E-07 1.0792E-03 1.3120E+00 
 650 3E+04 1.3033E-06 2.2275E-03 1.3033E+00 
 650 1E+05 4.3442E-06 5.2130E-03 1.3186E+00 
 650 3E+05 1.3033E-05 1.1292E-02 1.3579E+00 
 650 1E+06 4.3445E-05 2.4161E-02 1.4322E+00 
 650 3E+06 1.3034E-04 4.2019E-02 1.4880E+00 
 650 1E+07 4.3446E-04 6.7616E-02 1.5350E+00 
 650 3E+07 1.3034E-03 1.0359E-01 1.6394E+00 
 650 1E+08 4.3446E-03 1.8767E-01 2.0005E+00 
 650 3E+08 1.3034E-02 3.8308E-01 3.0313E+00 
 800 3E+02 1.0584E-08 8.2587E-05 5.2227E-01 
 800 3E+03 1.0586E-07 9.7022E-04 7.8366E-01 
 800 1E+04 3.5294E-07 2.3893E-03 1.0585E+00 
 800 3E+04 1.0589E-06 4.1010E-03 1.1392E+00 
 800 1E+05 3.5297E-06 7.3416E-03 1.1421E+00 
 800 3E+05 1.0589E-05 1.3075E-02 1.1441E+00 
 800 1E+06 3.5297E-05 2.4356E-02 1.1613E+00 
 800 3E+06 1.0589E-04 4.0971E-02 1.2010E+00 
 800 1E+07 3.5298E-04 6.9115E-02 1.2774E+00 
 800 3E+07 1.0590E-03 1.1238E-01 1.3848E+00 
 800 1E+08 3.5300E-03 2.1548E-01 1.7024E+00 
 800 3E+08 1.0590E-02 4.5274E-01 2.6014E+00 
1000 3E+02 8.4673E-09 4.5467E-05 4.5667E-01 
1000 3E+03 8.4673E-08 2.1487E-04 4.5674E-01 
1000 1E+04 2.8224E-07 6.1764E-04 4.6267E-01 
1000 3E+04 8.4679E-07 1.6398E-03 5.0858E-01 
1000 1E+05 2.8231E-06 4.3918E-03 6.8820E-01 
1000 3E+05 8.4710E-06 8.7552E-03 8.7925E-01 
1000 1E+06 2.8238E-05 1.5295E-02 9.4885E-01 
1000 3E+06 8.4715E-05 2.4905E-02 9.6995E-01 
1000 1E+07 2.8238E-04 4.4087E-02 1.0165E+00 
1000 3E+07 8.4716E-04 8.1529E-02 1.1318E+00 
1000 1E+08 2.8240E-03 1.7594E-01 1.4760E+00 
1000 3E+08 8.4719E-03 3.7690E-01 2.4145E+00 
1200 3E+02 7.0561E-09 1.5588E-04 3.6588E-01 
1200 3E+03 7.0561E-08 2.5111E-04 3.6561E-01 
1200 1E+04 2.3520E-07 3.8678E-04 3.6632E-01 
1200 3E+04 7.0561E-07 6.4977E-04 3.6836E-01 
1200 1E+05 2.3520E-06 1.2891E-03 3.7701E-01 
1200 3E+05 7.0566E-06 2.7244E-03 4.2066E-01 
1200 1E+06 2.3526E-05 6.7739E-03 5.7806E-01 
1200 3E+06 7.0590E-05 1.3621E-02 7.4468E-01 
1200 1E+07 2.3532E-04 2.5897E-02 8.3205E-01 
1200 3E+07 7.0597E-04 5.0228E-02 9.3893E-01 
1200 1E+08 2.3533E-03 1.1679E-01 1.2828E+00 
1200 3E+08 7.0599E-03 2.6340E-01 2.2352E+00 
1400 3E+02 6.0559E-09 6.2304E-04 3.9610E-01 
1400 3E+03 6.0518E-08 6.5555E-04 3.6793E-01 
1400 1E+04 2.0165E-07 6.8894E-04 3.3545E-01 
1400 3E+04 6.0487E-07 8.2188E-04 3.1829E-01 
1400 1E+05 2.0161E-06 1.1645E-03 3.1317E-01 
1400 3E+05 6.0483E-06 1.8280E-03 3.1890E-01 
1400 1E+06 2.0161E-05 3.4865E-03 3.5322E-01 
1400 3E+06 6.0491E-05 7.3838E-03 4.5371E-01 
1400 1E+07 2.0168E-04 1.7310E-02 6.4372E-01 
1400 3E+07 6.0510E-04 3.5479E-02 8.1368E-01 
1400 1E+08 2.0171E-03 8.2671E-02 1.1722E+00 
1400 3E+08 6.0515E-03 1.8662E-01 2.1531E+00 
1600 3E+02 5.2921E-09 1.6028E-03 3.2599E-01 
1600 3E+03 5.2974E-08 1.5312E-03 3.2449E-01 
1600 1E+04 1.7661E-07 1.6059E-03 3.2428E-01 
1600 3E+04 5.2989E-07 1.8137E-03 3.2847E-01 
1600 1E+05 1.7658E-06 2.1832E-03 3.4092E-01 
1600 3E+05 5.2964E-06 2.9386E-03 3.6588E-01 
1600 1E+06 1.7648E-05 4.1475E-03 4.0441E-01 
1600 3E+06 5.2932E-05 6.6877E-03 4.6504E-01 
1600 1E+07 1.7644E-04 1.4660E-02 5.6969E-01 
1600 3E+07 5.2940E-04 3.0960E-02 7.8137E-01 
1600 1E+08 1.7649E-03 7.1283E-02 1.1970E+00 
1600 3E+08 5.2950E-03 1.5791E-01 2.2012E+00 
1800 3E+02 4.6666E-09 2.9289E-03 2.9275E-01 
1800 3E+03 4.6969E-08 3.1067E-03 2.9445E-01 
1800 1E+04 1.5679E-07 3.3237E-03 2.9661E-01 
1800 3E+04 4.7068E-07 3.7111E-03 3.0208E-01 
1800 1E+05 1.5696E-06 4.4904E-03 3.2150E-01 
1800 3E+05 4.7096E-06 5.1939E-03 3.8162E-01 
1800 1E+06 1.5701E-05 7.3293E-03 5.6778E-01 
1800 3E+06 4.7085E-05 1.0182E-02 7.6654E-01 
1800 1E+07 1.5693E-04 1.6825E-02 8.7373E-01 
1800 3E+07 4.7082E-04 3.2782E-02 1.0438E+00 
1800 1E+08 1.5682E-03 7.4521E-02 1.4025E+00 
1800 3E+08 4.7068E-03 1.6740E-01 2.4812E+00 
2000 3E+02 4.0660E-09 4.5462E-03 2.4304E-01 
2000 3E+03 4.1829E-08 4.7473E-03 2.4690E-01 
2000 1E+04 1.4028E-07 4.9795E-03 2.5284E-01 
2000 3E+04 4.2218E-07 5.3874E-03 2.6870E-01 
2000 1E+05 1.4101E-06 6.2859E-03 3.2256E-01 
2000 3E+05 4.2343E-06 7.9301E-03 4.7099E-01 
2000 1E+06 1.4124E-05 1.1457E-02 8.9755E-01 
2000 3E+06 4.2384E-05 1.7320E-02 1.3465E+00 
2000 1E+07 1.4131E-04 2.8860E-02 1.5029E+00 
2000 3E+07 4.2381E-04 4.2395E-02 1.6629E+00 
2000 1E+08 1.4127E-03 8.7621E-02 2.0762E+00 
2000 3E+08 4.2389E-03 1.8598E-01 3.0993E+00 
2300 3E+02 2.9761E-09 6.6067E-03 1.8232E-01 
2300 3E+03 3.4145E-08 7.6388E-03 2.0374E-01 
2300 1E+04 1.1771E-07 8.0280E-03 2.1756E-01 
2300 3E+04 3.5950E-07 8.5542E-03 2.5252E-01 
2300 1E+05 1.2120E-06 9.6893E-03 3.7473E-01 
2300 3E+05 3.6573E-06 1.1651E-02 7.2261E-01 
2300 1E+06 1.2236E-05 1.5908E-02 1.7615E+00 
2300 3E+06 3.6777E-05 2.3260E-02 2.9093E+00 
