# Title: Line and Mean Opacities for Ultra-cool Dwarfs and Extrasolar Planets
# Authors: Freedman R.,  Marley M.S., Lodders K.
# Table: Mean Opacities for [M/H] = 0.0
# Modified by Zifan Lin into rectangular grid
# Empty (low P-T) grid points filled with 75 K, 3.0E+2 dyne/cm2 data
# Pressure, density, kappaR and kappaP are isothermally extended to 1.0e13 Pa (1.0e14 0.1 Pa)
# Temp (K)	Pressure (0.1 Pa)	Density (g/cm3)	kappaR (cm2/g)	kappaP (cm2/g)
160	3.00E+05	5.2903E-05	7.7084E-03	6.0245E-01
160	1.00E+06	1.7634E-04	2.5038E-02	6.1839E-01
160	3.00E+06	5.2903E-04	7.4055E-02	6.6615E-01
160	1.00E+07	1.7630E-03	2.3190E-01	6.6007E-01
160	3.00E+07	5.2867E-03	5.4959E-01	8.6366E-01
160	1.00E+08	1.7620E-02	1.3934E+00	2.4377E+00
160	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
170	3.00E+02	4.9820E-08	1.2252E-05	8.7561E-01
170	3.00E+03	4.9812E-07	9.6728E-05	6.2234E-01
170	1.00E+04	1.6598E-06	2.8810E-04	6.0473E-01
170	3.00E+04	4.9791E-06	8.0465E-04	5.9955E-01
170	1.00E+05	1.6597E-05	2.5579E-03	5.9725E-01
170	3.00E+05	4.9791E-05	7.4199E-03	6.0093E-01
170	1.00E+06	1.6597E-04	2.3751E-02	6.1626E-01
170	3.00E+06	4.9791E-04	6.9244E-02	6.6280E-01
170	1.00E+07	1.6597E-03	2.2653E-01	8.2611E-01
170	3.00E+07	4.9787E-03	6.1557E-01	1.2317E+00
170	1.00E+08	1.6587E-02	1.4713E+00	2.4983E+00
170	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
180	3.00E+02	4.7102E-08	1.5010E-05	3.5550E+00
180	3.00E+03	4.7050E-07	1.0282E-04	9.8337E-01
180	1.00E+04	1.5682E-06	3.0226E-04	7.2525E-01
180	3.00E+04	4.7040E-06	8.3368E-04	6.4306E-01
180	1.00E+05	1.5676E-05	2.4980E-03	6.1371E-01
180	3.00E+05	4.7026E-05	7.0041E-03	6.1242E-01
180	1.00E+06	1.5675E-04	2.1896E-02	6.2589E-01
180	3.00E+06	4.7026E-04	6.2445E-02	6.7081E-01
180	1.00E+07	1.5675E-03	2.0170E-01	8.2965E-01
180	3.00E+07	4.7026E-03	5.5196E-01	1.2811E+00
180	1.00E+08	1.5674E-02	1.5641E+00	2.7984E+00
180	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
190	3.00E+02	4.4797E-08	1.8112E-05	1.0403E+01
190	3.00E+03	4.4600E-07	1.1589E-04	2.1454E+00
190	1.00E+04	1.4859E-06	3.1673E-04	1.0580E+00
190	3.00E+04	4.4572E-06	8.3333E-04	7.6703E-01
190	1.00E+05	1.4856E-05	2.4994E-03	6.7928E-01
190	3.00E+05	4.4555E-05	6.6725E-03	6.4369E-01
190	1.00E+06	1.4850E-04	1.9837E-02	6.4672E-01
190	3.00E+06	4.4551E-04	5.4770E-02	6.8812E-01
190	1.00E+07	1.4850E-03	1.7337E-01	8.4169E-01
190	3.00E+07	4.4551E-03	4.6920E-01	1.2799E+00
190	1.00E+08	1.4850E-02	1.3468E+00	2.8138E+00
190	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
200	3.00E+02	4.2556E-08	1.7627E-05	6.7301E+00
200	3.00E+03	4.2497E-07	1.3969E-04	6.4214E+00
200	1.00E+04	1.4130E-06	3.5501E-04	2.5494E+00
200	3.00E+04	4.2359E-06	8.7339E-04	1.2383E+00
200	1.00E+05	1.4116E-05	2.4495E-03	8.3107E-01
200	3.00E+05	4.2345E-05	6.4544E-03	7.2606E-01
200	1.00E+06	1.4110E-04	1.7986E-02	6.0971E-01
200	3.00E+06	4.2321E-04	4.6130E-02	5.9485E-01
200	1.00E+07	1.4106E-03	1.3975E-01	7.3460E-01
200	3.00E+07	4.2319E-03	3.7256E-01	1.1577E+00
200	1.00E+08	1.4106E-02	1.0590E+00	2.6432E+00
200	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
250	3.00E+02	3.4045E-08	1.4044E-05	6.6813E+00
250	3.00E+03	3.4045E-07	1.0142E-04	6.9506E+00
250	1.00E+04	1.1348E-06	3.1392E-04	6.7682E+00
250	3.00E+04	3.4045E-06	9.0088E-04	6.3874E+00
250	1.00E+05	1.1348E-05	2.8576E-03	6.1835E+00
250	3.00E+05	3.4045E-05	8.0027E-03	6.1827E+00
250	1.00E+06	1.1348E-04	2.3245E-02	6.1924E+00
250	3.00E+06	3.3932E-04	4.2247E-02	2.6838E+00
250	1.00E+07	1.1297E-03	8.7475E-02	1.5402E+00
250	3.00E+07	3.3880E-03	1.7862E-01	1.5230E+00
250	1.00E+08	1.1292E-02	4.2921E-01	2.6025E+00
250	3.00E+08	1.1277E-07	2.5619E-06	7.1083E-06
275	3.00E+02	3.0950E-08	1.3000E-05	6.9889E+00
275	3.00E+03	3.0950E-07	9.0380E-05	6.2493E+00
275	1.00E+04	1.0317E-06	2.7555E-04	5.7756E+00
275	3.00E+04	3.0950E-06	7.8029E-04	5.5450E+00
275	1.00E+05	1.0317E-05	2.4369E-03	5.5710E+00
275	3.00E+05	3.0950E-05	6.7066E-03	5.5839E+00
275	1.00E+06	1.0317E-04	1.8971E-02	5.5924E+00
275	3.00E+06	3.0950E-04	4.5224E-02	5.6247E+00
275	1.00E+07	1.0314E-03	1.0613E-01	5.4770E+00
275	3.00E+07	3.0844E-03	1.7341E-01	2.8444E+00
275	1.00E+08	1.0270E-02	3.4886E-01	2.8899E+00
275	3.00E+08	3.0801E-02	7.4322E-01	5.6975E+00
