Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = +0.3
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = +0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
 170 3E+02 5.0041E-08 1.3189E-05 1.3986E+00 
 170 3E+03 5.0008E-07 1.0279E-04 1.0792E+00 
 170 1E+04 1.6660E-06 3.0225E-04 9.5986E-01 
 170 3E+04 4.9977E-06 8.5122E-04 9.4642E-01 
 170 1E+05 1.6659E-05 2.7213E-03 9.4227E-01 
 170 3E+05 4.9977E-05 7.9151E-03 9.4555E-01 
 170 1E+06 1.6659E-04 2.5391E-02 9.6037E-01 
 170 3E+06 4.9977E-04 7.4259E-02 1.0067E+00 
 170 1E+07 1.6659E-03 2.4698E-01 1.1695E+00 
 170 3E+07 4.9949E-03 6.2651E-01 1.2463E+00 
 170 1E+08 1.6641E-02 1.5073E+00 2.5047E+00 
 180 3E+02 4.7310E-08 1.6287E-05 4.3886E+00 
 180 3E+03 4.7259E-07 1.1215E-04 1.7113E+00 
 180 1E+04 1.5752E-06 3.3193E-04 1.3757E+00 
 180 3E+04 4.7213E-06 8.7734E-04 1.0455E+00 
 180 1E+05 1.5734E-05 2.6529E-03 9.7196E-01 
 180 3E+05 4.7201E-05 7.4974E-03 9.6636E-01 
 180 1E+06 1.5733E-04 2.3546E-02 9.7899E-01 
 180 3E+06 4.7200E-04 6.7346E-02 1.0237E+00 
 180 1E+07 1.5733E-03 2.2128E-01 1.1820E+00 
 180 3E+07 4.7200E-03 6.1002E-01 1.6304E+00 
 180 1E+08 1.5724E-02 1.6067E+00 2.8136E+00 
 190 3E+02 4.5087E-08 2.1452E-05 1.5210E+01 
 190 3E+03 4.4799E-07 1.2723E-04 2.8232E+00 
 190 1E+04 1.4925E-06 3.4856E-04 1.7066E+00 
 190 3E+04 4.4770E-06 9.2123E-04 1.4057E+00 
 190 1E+05 1.4914E-05 2.6908E-03 1.1660E+00 
 190 3E+05 4.4719E-05 7.1184E-03 1.0254E+00 
 190 1E+06 1.4905E-04 2.1395E-02 1.0158E+00 
 190 3E+06 4.4716E-04 5.9300E-02 1.0561E+00 
 190 1E+07 1.4905E-03 1.9110E-01 1.2090E+00 
 190 3E+07 4.4716E-03 5.2118E-01 1.6441E+00 
 190 1E+08 1.4905E-02 1.5146E+00 3.1672E+00 
 200 3E+02 4.2952E-08 2.2742E-05 1.3311E+01 
 200 3E+03 4.2681E-07 1.5667E-04 7.0399E+00 
 200 1E+04 1.4191E-06 3.9500E-04 3.2013E+00 
 200 3E+04 4.2543E-06 9.7030E-04 1.8971E+00 
 200 1E+05 1.4177E-05 2.7289E-03 1.4892E+00 
 200 3E+05 4.2524E-05 7.1888E-03 1.3563E+00 
 200 1E+06 1.4161E-04 1.9667E-02 1.0991E+00 
 200 3E+06 4.2480E-04 5.1644E-02 1.1054E+00 
 200 1E+07 1.4160E-03 1.6086E-01 1.2477E+00 
 200 3E+07 4.2479E-03 4.3311E-01 1.6677E+00 
 200 1E+08 1.4160E-02 1.2487E+00 3.1416E+00 
 250 3E+02 3.4362E-08 2.0149E-05 1.3212E+01 
 250 3E+03 3.4362E-07 1.5291E-04 1.3745E+01 
 250 1E+04 1.1454E-06 4.7761E-04 1.3389E+01 
 250 3E+04 3.4362E-06 1.3742E-03 1.2631E+01 
 250 1E+05 1.1454E-05 4.3602E-03 1.2231E+01 
 250 3E+05 3.4362E-05 1.2200E-02 1.2221E+01 
 250 1E+06 1.1398E-04 2.7687E-02 7.0492E+00 
 250 3E+06 3.4080E-04 4.9329E-02 3.4952E+00 
 250 1E+07 1.1346E-03 1.0053E-01 2.3530E+00 
 250 3E+07 3.4028E-03 2.0420E-01 2.3321E+00 
 250 1E+08 1.1336E-02 4.9008E-01 3.2693E+00 
 275 3E+02 3.1238E-08 1.9618E-05 1.3823E+01 
 275 3E+03 3.1238E-07 1.4327E-04 1.2360E+01 
 275 1E+04 1.0413E-06 4.4006E-04 1.1426E+01 
 275 3E+04 3.1238E-06 1.2485E-03 1.0967E+01 
 275 1E+05 1.0413E-05 3.8978E-03 1.1020E+01 
 275 3E+05 3.1238E-05 1.0706E-02 1.1040E+01 
 275 1E+06 1.0413E-04 3.0229E-02 1.1048E+01 
 275 3E+06 3.1238E-04 7.1619E-02 1.1079E+01 
 275 1E+07 1.0359E-03 1.2871E-01 6.3561E+00 
 275 3E+07 3.0978E-03 2.0203E-01 3.7264E+00 
 275 1E+08 1.0315E-02 3.9907E-01 3.7587E+00 
 275 3E+08 3.0934E-02 8.5994E-01 6.5040E+00 
 300 3E+02 2.8635E-08 1.9956E-05 9.2549E+00 
 300 3E+03 2.8635E-07 1.4178E-04 9.1038E+00 
 300 1E+04 9.5449E-07 4.2882E-04 9.3563E+00 
 300 3E+04 2.8635E-06 1.2005E-03 9.9402E+00 
 300 1E+05 9.5449E-06 3.6894E-03 1.0163E+01 
 300 3E+05 2.8635E-05 9.9467E-03 1.0168E+01 
 300 1E+06 9.5449E-05 2.7362E-02 1.0175E+01 
 300 3E+06 2.8635E-04 6.2808E-02 1.0203E+01 
 300 1E+07 9.5449E-04 1.3759E-01 1.0303E+01 
