# V[A^3]  rho[g/cc]  T[K]  P[GPa]  P[GPa](stdev)  E[Ha]  E[Ha](stdev)
2104.224550  3.4449   500  33.792  0.049  -71.12649900  0.00862900
2104.224550  3.4449  1000  37.284  0.089  -69.27603300  0.00540200
2104.224550  3.4449  1500  39.936  0.121  -67.92275600  0.04075500
2104.224550  3.4449  2000  42.685  0.229  -66.49137000  0.07099800
2104.224550  3.4449  2500  45.892  0.129  -64.65498300  0.03518900
2104.224550  3.4449  3000  48.995  0.307  -62.95631300  0.13732500
2104.224550  3.4449  3500  52.418  0.213  -61.13085900  0.03503600
2104.224550  3.4449  4000  56.820  0.229  -59.01683700  0.04183300
2104.224550  3.4449  4500  60.093  0.297  -56.91984600  0.03777500
2104.224550  3.4449  5000  65.823  0.489  -54.24487800  0.16176200
2104.224550  3.4449  5500  68.138  0.599  -52.27440800  0.16288000
2104.224550  3.4449  6000  73.319  0.780  -49.75343900  0.23016000
2104.224550  3.4449  6500  77.604  0.580  -47.21919600  0.23103900
2104.224550  3.4449  7000  81.073  0.590  -44.93734900  0.18284400
2104.224550  3.4449  7500  85.581  0.451  -42.57903000  0.17432800
2104.224550  3.4449  8000  88.741  0.333  -40.34276700  0.16870500
