# V[A^3]  rho[g/cc]  T[K]  P[GPa]  P[GPa](stdev)  E[Ha]  E[Ha](stdev)
1710.304333  4.3783   500  115.699  0.029  -66.94771200  0.00126700 
1710.304333  4.3783  1000  118.562  0.044  -65.23931200  0.00841400 
1710.304333  4.3783  1500  121.633  0.070  -64.33996100  0.01848500 
1710.304333  4.3783  2000  126.011  0.514  -62.93151600  0.14359000 
1710.304333  4.3783  2500  128.331  0.491  -61.66303200  0.10240300 
1710.304333  4.3783  3000  131.589  0.246  -59.95955200  0.05986100 
1710.304333  4.3783  3500  137.146  0.151  -57.75754900  0.02355200 
1710.304333  4.3783  4000  139.975  0.316  -56.25493300  0.09169600 
1710.304333  4.3783  4500  144.472  0.216  -54.38995100  0.05418800 
1710.304333  4.3783  5000  153.364  0.162  -51.42490800  0.02887500 
1710.304333  4.3783  5500  159.591  0.397  -48.79020200  0.10123600 
1710.304333  4.3783  6000  164.423  0.394  -46.47775400  0.12095300 
1710.304333  4.3783  6500  174.973  0.775  -42.56549400  0.25787600 
1710.304333  4.3783  7000  180.578  0.743  -39.99909500  0.24235400 
1710.304333  4.3783  7500  186.895  0.468  -37.21939500  0.15079200 
1710.304333  4.3783  8000  192.211  0.623  -34.73417500  0.22763300 
