P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
1.004642e+10	0.009997	0.238881	-4.585809e+05	0.300092	0.530130
1.057870e+10	0.010771	0.244877	-7.539358e+04	0.299952	0.529777
1.113575e+10	0.011595	0.250951	-1.499847e+05	0.299965	0.529525
1.172373e+10	0.012484	0.257183	-4.932555e+05	0.299986	0.529267
1.234267e+10	0.013439	0.263555	-3.364144e+05	0.299977	0.528977
1.299874e+10	0.014471	0.270100	-1.708170e+05	0.300015	0.528710
1.368885e+10	0.015574	0.276756	-1.462078e+05	0.300090	0.528474
1.442538e+10	0.016781	0.283693	-1.230710e+05	0.299923	0.528054
1.519286e+10	0.018054	0.290631	-3.617715e+05	0.300089	0.527870
1.601295e+10	0.019449	0.297883	-4.782680e+05	0.299947	0.527455
1.687636e+10	0.020940	0.305244	-6.043007e+04	0.299934	0.527127
1.778929e+10	0.022545	0.312778	-3.315741e+05	0.299967	0.526825
1.875174e+10	0.024266	0.320454	-2.129664e+05	0.300046	0.526550
1.977298e+10	0.026130	0.328364	-5.173454e+05	0.300028	0.526197
2.084992e+10	0.028129	0.336432	-7.136314e+05	0.300027	0.525849
2.199186e+10	0.030288	0.344720	-7.138241e+05	0.299973	0.525455
2.320188e+10	0.032609	0.353180	-4.622123e+05	0.300033	0.525134
2.448307e+10	0.035119	0.361891	-7.414422e+05	0.299920	0.524681
2.583854e+10	0.037808	0.370744	-3.113821e+05	0.299984	0.524346
2.727137e+10	0.040697	0.379785	-5.005147e+05	0.300063	0.524014
2.879086e+10	0.043813	0.389061	-1.663429e+05	0.300073	0.523623
3.040009e+10	0.047174	0.398573	-8.021399e+05	0.300020	0.523178
3.211144e+10	0.050795	0.408305	-5.638674e+05	0.300047	0.522779
3.392182e+10	0.054694	0.418272	-3.333612e+05	0.299963	0.522292
3.584671e+10	0.058897	0.428474	-4.608541e+04	0.299936	0.521835
3.788919e+10	0.063424	0.438912	-1.299913e+05	0.299912	0.521369
4.004309e+10	0.068253	0.449476	-1.226727e+05	0.300019	0.520989
4.234552e+10	0.073508	0.460416	-6.070681e+05	0.299955	0.520473
4.478413e+10	0.079141	0.471544	-1.120283e+06	0.299974	0.520007
4.737127e+10	0.085191	0.482893	-9.190311e+05	0.300026	0.519553
5.011934e+10	0.091701	0.494492	-3.432670e+04	0.300065	0.519078
5.305309e+10	0.098768	0.506468	-1.212322e+06	0.299960	0.518488
5.617252e+10	0.106356	0.518664	-2.770477e+05	0.299942	0.517947
5.947763e+10	0.114486	0.531064	-5.691406e+05	0.299984	0.517440
6.300556e+10	0.123281	0.543809	-4.079526e+05	0.299941	0.516858
6.674393e+10	0.132676	0.556712	-9.507484e+05	0.300063	0.516382
7.075462e+10	0.142919	0.570100	-8.466550e+05	0.299929	0.515709
7.501289e+10	0.153881	0.583678	-2.511413e+05	0.299921	0.515115
7.954350e+10	0.165662	0.597522	-9.918241e+05	0.299942	0.514528
8.437119e+10	0.178332	0.611648	-5.252422e+05	0.299972	0.513936
8.952072e+10	0.191971	0.626073	-1.254762e+06	0.300032	0.513351
9.502924e+10	0.206721	0.640890	-4.980376e+05	0.299982	0.512675
1.009091e+11	0.222605	0.656021	-1.390322e+06	0.299953	0.512000
1.071727e+11	0.239641	0.671403	-7.328998e+05	0.299977	0.511351
1.138820e+11	0.258067	0.687194	-4.828052e+05	0.299926	0.510634
1.210121e+11	0.277714	0.703125	-8.023949e+05	0.300073	0.510047
1.286869e+11	0.299142	0.719653	-7.403172e+05	0.299931	0.509238
1.368568e+11	0.321998	0.736322	-1.292259e+06	0.300019	0.508581
1.456210e+11	0.346749	0.753463	-1.593942e+06	0.299956	0.507803
1.549792e+11	0.373277	0.770854	-2.670785e+05	0.299983	0.507077
1.650307e+11	0.401978	0.788700	-1.802207e+06	0.299947	0.506290
1.757755e+11	0.432789	0.806845	-5.128418e+05	0.299931	0.505506
1.872629e+11	0.465763	0.825210	-7.168932e+05	0.300088	0.504832
1.996416e+11	0.501667	0.844218	-6.427733e+05	0.299948	0.503933
2.128620e+11	0.539965	0.863367	-7.056587e+05	0.300047	0.503192
2.270728e+11	0.581326	0.882971	-1.810647e+05	0.300071	0.502383
2.423233e+11	0.625866	0.902968	-1.455126e+06	0.300077	0.501548
2.587622e+11	0.674107	0.923499	-2.465687e+05	0.299960	0.500613
2.763895e+11	0.725861	0.944327	-2.162070e+06	0.299932	0.499727
2.953041e+11	0.781354	0.965439	-1.674437e+06	0.299998	0.498895
3.157042e+11	0.841396	0.987084	-1.890754e+05	0.299956	0.497973
3.375897e+11	0.905711	1.008995	-1.090709e+06	0.300021	0.497115
3.611588e+11	0.975020	1.031347	-9.589347e+05	0.300052	0.496219
3.866093e+11	1.049995	1.054247	-9.187609e+05	0.299979	0.495236
4.140405e+11	1.130709	1.077556	-1.080528e+06	0.299927	0.494254
