P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
1.296400e+10	0.010001	0.215839	-1.563422e+05	0.500060	0.684098
1.550494e+10	0.012871	0.234517	-8.823181e+05	0.499992	0.683156
1.857396e+10	0.016561	0.254750	-2.654724e+05	0.500002	0.682134
2.228701e+10	0.021308	0.276661	-4.798238e+05	0.500033	0.680984
2.679963e+10	0.027422	0.300425	-3.313644e+05	0.499979	0.679625
3.229362e+10	0.035287	0.326120	-1.220512e+06	0.500091	0.678203
3.900559e+10	0.045409	0.353933	-2.943696e+05	0.500011	0.676484
4.723345e+10	0.058437	0.383992	-8.174425e+05	0.500012	0.674625
5.735397e+10	0.075206	0.416467	-1.604133e+06	0.499935	0.672522
6.984034e+10	0.096749	0.451422	-1.144197e+06	0.500108	0.670377
8.533219e+10	0.124523	0.489203	-8.168558e+05	0.500009	0.667855
1.046006e+11	0.160242	0.529840	-1.020573e+06	0.499998	0.665186
1.286796e+11	0.206217	0.573554	-1.629948e+06	0.499951	0.662298
1.588922e+11	0.265370	0.620485	-2.354902e+06	0.499919	0.659230
1.969559e+11	0.341391	0.670713	-7.541594e+05	0.500071	0.656105
2.451839e+11	0.439313	0.724566	-1.085812e+06	0.500075	0.652724
3.065555e+11	0.565337	0.782124	-3.221857e+05	0.500046	0.649181
3.850662e+11	0.727614	0.843558	-2.334033e+06	0.499960	0.645480
4.859385e+11	0.936270	0.908854	-2.167966e+05	0.499969	0.641746
6.162523e+11	1.204650	0.978137	-2.225025e+06	0.500040	0.637981
7.856112e+11	1.550073	1.051532	-3.908026e+06	0.500090	0.634156
1.007124e+12	1.995260	1.129228	-4.554482e+06	0.499929	0.630180
1.297894e+12	2.566707	1.210738	-2.949205e+06	0.500085	0.626414
1.682877e+12	3.303209	1.296517	-5.470501e+06	0.500058	0.622560
2.195159e+12	4.250477	1.386205	-3.288098e+06	0.500070	0.618785
2.882128e+12	5.470912	1.479879	-1.765714e+06	0.499947	0.615000
3.808555e+12	7.039974	1.577022	-6.018957e+06	0.499968	0.611395
5.066970e+12	9.057682	1.677415	-7.967418e+05	0.500054	0.607937
6.790842e+12	11.656674	1.781009	-9.776641e+06	0.499998	0.604506
7.021888e+12	11.993460	1.792923	-1.235954e+07	0.499912	0.604078
7.257420e+12	12.333054	1.804569	-8.586372e+06	0.499940	0.603728
7.501925e+12	12.683145	1.816294	-1.107139e+06	0.499929	0.603357
7.755402e+12	13.042969	1.828035	-5.204172e+06	0.499946	0.603002
8.017853e+12	13.412548	1.839791	-4.814006e+06	0.499958	0.602647
8.289275e+12	13.790739	1.851469	-9.099168e+05	0.500057	0.602347
8.571914e+12	14.182576	1.863335	-4.041882e+06	0.500035	0.601973
8.865769e+12	14.587006	1.875296	-5.376263e+06	0.499969	0.601574
9.168684e+12	14.998769	1.887084	-1.271670e+07	0.500054	0.601268
