P_core (Pa)	M (Me)	R (Re)
7.00E+08	0.000697	0.104601
8.95E+08	0.001007	0.11824
1.14E+09	0.001455	0.133654
1.46E+09	0.002102	0.151092
1.87E+09	0.003037	0.170807
2.39E+09	0.004388	0.193095
3.05E+09	0.006339	0.218288
3.90E+09	0.009158	0.24676
4.98E+09	0.013232	0.278969
6.37E+09	0.019118	0.315368
8.14E+09	0.027222	0.354671
1.04E+10	0.038447	0.397412
1.33E+10	0.054245	0.444892
1.70E+10	0.072746	0.488779
2.17E+10	0.097835	0.536511
2.77E+10	0.126796	0.580837
3.55E+10	0.164987	0.627909
4.53E+10	0.219066	0.682626
5.79E+10	0.293557	0.744139
7.40E+10	0.394301	0.811758
9.46E+10	0.528689	0.884933
1.13E+11	0.649077	0.939807
1.21E+11	0.705722	0.963084
1.27E+11	0.745001	0.978435
1.43E+11	0.853882	1.018084
1.54E+11	0.936495	1.04574
1.60E+11	0.977201	1.058705
1.80E+11	1.116507	1.100221
1.97E+11	1.234322	1.132398
2.03E+11	1.273627	1.142617
2.29E+11	1.450406	1.185812
2.52E+11	1.615292	1.22262
2.57E+11	1.648969	1.229777
2.89E+11	1.871539	1.274448
3.22E+11	2.098541	1.315949
3.26E+11	2.120621	1.319794
3.67E+11	2.398892	1.365768
4.12E+11	2.706974	1.411993
4.12E+11	2.709193	1.412307
4.64E+11	3.054776	1.459396
5.22E+11	3.439049	1.506986
5.27E+11	3.46772	1.510361
5.88E+11	3.865701	1.555032
6.61E+11	4.338792	1.603502
6.73E+11	4.413014	1.610706
7.44E+11	4.862643	1.652348
8.38E+11	5.442169	1.701571
8.60E+11	5.58104	1.712715
9.43E+11	6.082364	1.751108
1.06E+12	6.788978	1.800959
1.10E+12	7.016978	1.816106
1.19E+12	7.567863	1.851061
1.34E+12	8.425734	1.901414
1.343596e+12	8.426851	1.901477
1.347202e+12	8.447297	1.902623
1.350817e+12	8.467787	1.903769
1.354442e+12	8.488320	1.904914
1.358077e+12	8.508897	1.906060
1.361721e+12	8.529518	1.907206
1.365376e+12	8.550183	1.908352
1.369040e+12	8.570892	1.909498
1.372714e+12	8.591751	1.910659
1.376398e+12	8.612548	1.911805
1.380091e+12	8.633390	1.912951
1.380286e+12	8.634399	1.912998
1.380480e+12	8.635514	1.913061
1.380675e+12	8.636629	1.913124
1.380870e+12	8.637744	1.913186
1.381065e+12	8.638859	1.913249
1.381260e+12	8.639975	1.913312
1.381454e+12	8.641090	1.913375
1.381649e+12	8.642101	1.913422
1.381844e+12	8.643217	1.913485
1.382039e+12	8.644333	1.913547
1.382234e+12	8.645449	1.913610
1.382429e+12	8.646565	1.913673
1.382624e+12	8.647681	1.913736
1.382819e+12	8.648693	1.913783
1.383014e+12	8.649809	1.913846
1.383036e+12	8.649990	1.913861
1.383057e+12	8.650068	1.913861
1.383079e+12	8.650250	1.913877
1.383101e+12	8.650327	1.913877
1.383122e+12	8.650405	1.913877
1.383144e+12	8.650587	1.913893
1.383166e+12	8.650664	1.913893
1.383187e+12	8.650847	1.913908
1.383209e+12	8.650926	1.913908
1.383405e+12	8.652043	1.913971
1.383600e+12	8.653160	1.914034
1.383795e+12	8.654276	1.914097
1.387508e+12	8.675208	1.915243
1.391232e+12	8.696183	1.916388
1.394966e+12	8.717203	1.917534
1.398709e+12	8.738268	1.918680
1.402463e+12	8.759378	1.919826
1.406226e+12	8.780533	1.920972
1.41E+12	8.774351	1.920642
1.51E+12	9.36977	1.952003
1.70E+12	10.407398	2.002764
1.80E+12	10.916074	2.026073
1.91E+12	11.547219	2.053714
2.15E+12	12.798193	2.10482
2.30E+12	13.516923	2.132241
2.42E+12	14.170129	2.156068
2.73E+12	15.67364	2.207442
2.93E+12	16.664674	2.238959
3.07E+12	17.32006	2.258909
3.46E+12	19.12209	2.310487
3.75E+12	20.463353	2.346117
3.89E+12	21.092855	2.362127
4.38E+12	23.247183	2.413846
4.79E+12	25.035251	2.453588
4.92E+12	25.600616	2.465611
5.54E+12	28.170483	2.51744
6.12E+12	30.527862	2.561326
6.24E+12	30.987781	2.569551
7.02E+12	34.105474	2.622667
7.82E+12	37.150866	2.670273
7.90E+12	37.414227	2.674197
8.89E+12	40.931377	2.724158
1.00E+13	44.673683	2.772596
