P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
1.127324e+10	0.010002	0.225649	-2.569598e+05	0.299968	0.551895
1.346308e+10	0.012872	0.245222	-3.844735e+05	0.299966	0.551049
1.609956e+10	0.016560	0.266428	-4.820156e+04	0.300035	0.550138
1.928599e+10	0.021315	0.289469	-5.387164e+05	0.300001	0.549021
2.313905e+10	0.027426	0.314411	-1.189002e+03	0.299950	0.547753
2.781204e+10	0.035277	0.341377	-5.063398e+05	0.300073	0.546464
3.351163e+10	0.045410	0.370666	-8.291703e+05	0.299997	0.544867
4.046446e+10	0.058419	0.402262	-3.068885e+05	0.300095	0.543236
4.898384e+10	0.075169	0.436448	-1.314335e+06	0.300093	0.541360
5.947641e+10	0.096766	0.473444	-1.385713e+06	0.299994	0.539238
7.242214e+10	0.124535	0.513312	-2.820358e+05	0.299948	0.536986
8.844765e+10	0.160201	0.556178	-1.210952e+06	0.300067	0.534686
1.084195e+11	0.206206	0.602450	-3.537398e+05	0.299981	0.532074
1.333511e+11	0.265291	0.652066	-2.435661e+06	0.300057	0.529428
1.646555e+11	0.341327	0.705323	-2.333190e+06	0.300094	0.526617
2.042259e+11	0.439500	0.762598	-2.413662e+06	0.299907	0.523516
2.543023e+11	0.565432	0.823593	-5.219040e+05	0.299974	0.520498
3.181377e+11	0.727630	0.888763	-3.544630e+06	0.299962	0.517335
3.999451e+11	0.936424	0.958171	-3.413909e+06	0.299937	0.514097
5.053241e+11	1.205045	1.031865	-1.386867e+06	0.299932	0.510831
6.418475e+11	1.550681	1.109922	-7.332843e+05	0.299929	0.507545
8.197546e+11	1.995240	1.192326	-1.980828e+05	0.299963	0.504286
1.053124e+12	2.567453	1.279141	-4.848750e+06	0.299978	0.501031
1.361155e+12	3.303633	1.370242	-3.830787e+06	0.300000	0.497824
1.770299e+12	4.250349	1.465470	-4.839411e+06	0.300048	0.494693
2.318099e+12	5.469453	1.564795	-5.490014e+06	0.300060	0.491610
3.056179e+12	7.037504	1.667840	-7.280911e+06	0.300083	0.488623
4.059626e+12	9.058674	1.774558	-9.839730e+06	0.299999	0.485658
5.433594e+12	11.659112	1.884258	-1.260953e+07	0.300024	0.482874
5.615234e+12	11.990936	1.896627	-2.235011e+06	0.300013	0.482563
5.802734e+12	12.330719	1.908980	-7.869983e+06	0.300014	0.482261
5.998047e+12	12.682196	1.921442	-5.227775e+06	0.299989	0.481943
6.199219e+12	13.040591	1.933811	-1.297896e+07	0.300015	0.481661
6.410156e+12	13.415360	1.946478	-1.271364e+07	0.299912	0.481292
6.625000e+12	13.790156	1.958705	-1.378276e+07	0.300043	0.481084
6.851562e+12	14.185604	1.971388	-1.172997e+07	0.299966	0.480736
7.083984e+12	14.585662	1.983819	-2.200853e+06	0.300015	0.480477
7.328125e+12	15.005156	1.996611	-2.353530e+06	0.299907	0.480111
