P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
1.340418e+10	0.010000	0.205950	-1.611253e+05	0.800182	0.853061
1.603440e+10	0.012872	0.223781	-3.492502e+05	0.799966	0.852284
1.920691e+10	0.016561	0.243056	-3.130216e+05	0.799941	0.851535
2.305008e+10	0.021309	0.263932	-7.680511e+05	0.800005	0.850729
2.772108e+10	0.027422	0.286550	-7.861869e+05	0.800006	0.849749
3.341378e+10	0.035285	0.311005	-1.898453e+05	0.800117	0.848694
4.037182e+10	0.045403	0.337453	-1.264981e+06	0.800178	0.847435
4.891742e+10	0.058431	0.366051	-1.272824e+06	0.800113	0.845934
5.944879e+10	0.075193	0.396878	-5.096531e+05	0.799984	0.844296
7.248463e+10	0.096769	0.430075	-7.606841e+05	0.799952	0.842592
8.867465e+10	0.124517	0.465753	-1.791920e+06	0.799998	0.840799
1.088886e+11	0.160230	0.504098	-1.871363e+06	0.800028	0.838835
1.342267e+11	0.206162	0.545222	-2.304584e+05	0.800071	0.836712
1.661667e+11	0.265298	0.589313	-1.198929e+06	0.800119	0.834412
2.066155e+11	0.341417	0.636542	-2.095737e+06	0.800001	0.831805
2.581092e+11	0.439350	0.686942	-1.650328e+06	0.800029	0.829110
3.240219e+11	0.565403	0.740733	-1.140031e+06	0.799946	0.826136
4.088597e+11	0.727592	0.797961	-3.312671e+06	0.799927	0.823007
5.186793e+11	0.936153	0.858658	-1.462155e+06	0.800045	0.819779
6.618640e+11	1.204725	0.923106	-7.367681e+05	0.800007	0.816225
8.496472e+11	1.550140	0.991180	-2.495513e+06	0.800090	0.812552
1.097957e+12	1.995060	1.063163	-8.452290e+05	0.799969	0.808501
1.428422e+12	2.567144	1.138771	-3.896807e+06	0.800009	0.804345
1.866359e+12	3.303690	1.218319	-3.182968e+06	0.799951	0.799920
2.444798e+12	4.250797	1.301822	-1.687239e+06	0.800040	0.795537
3.217057e+12	5.470922	1.389752	-6.147648e+06	0.799925	0.790933
4.255900e+12	7.039507	1.481684	-8.667435e+06	0.799982	0.786405
5.667628e+12	9.058710	1.577854	-9.060873e+06	0.799974	0.781726
7.605148e+12	11.656589	1.677823	-9.996076e+06	0.800014	0.777013
1.029984e+13	14.998303	1.779863	-7.013881e+06	0.800097	0.772715
