P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
1.301921e+10	0.010001	0.213359	-5.744485e+05	0.700031	0.787245
1.556722e+10	0.012872	0.231865	-8.142243e+04	0.699912	0.786354
1.863913e+10	0.016562	0.251893	-9.259355e+04	0.699985	0.785457
2.235638e+10	0.021310	0.273616	-3.460465e+05	0.699980	0.784363
2.686899e+10	0.027421	0.297161	-7.429741e+05	0.700004	0.783120
3.236509e+10	0.035285	0.322651	-7.601121e+04	0.700042	0.781719
3.908519e+10	0.045409	0.350213	-3.242179e+05	0.699967	0.780164
4.732933e+10	0.058439	0.379973	-7.991653e+05	0.699923	0.778504
5.747854e+10	0.075198	0.412056	-5.485719e+05	0.699935	0.776742
7.002812e+10	0.096769	0.446635	-4.667519e+05	0.699965	0.774838
8.559246e+10	0.124495	0.483803	-1.353229e+06	0.700087	0.772833
1.050241e+11	0.160231	0.523875	-1.221150e+06	0.699975	0.770494
1.293517e+11	0.206172	0.566820	1.790718e+03	0.700072	0.768111
1.599850e+11	0.265350	0.612967	-8.349369e+05	0.699953	0.765390
1.986959e+11	0.341392	0.662252	-1.329210e+06	0.700071	0.762633
2.479607e+11	0.439383	0.715070	-1.900657e+06	0.699980	0.759533
3.109039e+11	0.565405	0.771388	-2.330177e+06	0.699951	0.756273
3.917927e+11	0.727470	0.831300	-3.336902e+06	0.700083	0.752918
4.964186e+11	0.936132	0.895089	-3.246555e+06	0.700066	0.749255
6.325923e+11	1.204749	0.962817	-3.863127e+06	0.700013	0.745358
8.109059e+11	1.550294	1.034486	-3.640411e+06	0.700017	0.741287
1.046066e+12	1.994881	1.110188	-1.506330e+06	0.700028	0.737000
1.358649e+12	2.567247	1.190050	-2.919605e+06	0.699970	0.732425
1.773495e+12	3.303285	1.273946	-3.362337e+04	0.700049	0.727733
2.320628e+12	4.250764	1.362347	-5.269048e+06	0.700043	0.722911
3.049123e+12	5.470808	1.455425	-2.922810e+06	0.699938	0.717994
4.026952e+12	7.039708	1.552976	-1.933981e+06	0.699973	0.713140
5.353483e+12	9.057481	1.654577	-8.902388e+06	0.700071	0.708404
7.179902e+12	11.655665	1.758752	-5.531149e+05	0.700071	0.704088
9.722014e+12	15.000777	1.864779	-9.426818e+06	0.699969	0.700206
