P_core (Pa)	M (Me)	R (Re)	P_surf (Pa)	CMF	CRF
1.183795e+10	0.009999	0.226811	-2.181616e+04	0.500086	0.661732
1.413539e+10	0.012868	0.246572	-6.565657e+05	0.499999	0.660706
1.690446e+10	0.016561	0.268013	-7.176740e+04	0.500062	0.659621
2.024637e+10	0.021310	0.291259	-2.104831e+05	0.500101	0.658387
2.429876e+10	0.027419	0.316420	-2.416588e+05	0.500137	0.657078
2.922965e+10	0.035290	0.343700	-4.480983e+04	0.500031	0.655571
3.523740e+10	0.045407	0.373161	-3.713372e+05	0.500000	0.653993
4.259729e+10	0.058438	0.405024	-1.073719e+06	0.500000	0.652303
5.163321e+10	0.075200	0.439415	-5.572997e+05	0.499949	0.650439
6.277426e+10	0.096757	0.476473	-5.490907e+05	0.500034	0.648506
7.657103e+10	0.124518	0.516451	-8.053996e+05	0.499989	0.646325
9.371983e+10	0.160219	0.559443	-1.011339e+06	0.500013	0.644016
1.151599e+11	0.206221	0.605731	-4.226090e+05	0.499950	0.641472
1.420409e+11	0.265375	0.655377	-1.408721e+06	0.499921	0.638766
1.759175e+11	0.341422	0.708525	-1.776222e+06	0.500018	0.635956
2.188623e+11	0.439357	0.765486	-7.387714e+05	0.499996	0.632882
2.735636e+11	0.565366	0.826340	-2.604174e+06	0.500035	0.629659
3.436486e+11	0.727684	0.891369	-1.888041e+06	0.499907	0.626143
4.338134e+11	0.936114	0.960400	-6.502586e+05	0.500055	0.622617
5.507297e+11	1.204747	1.033968	-1.304352e+06	0.500009	0.618773
7.030771e+11	1.550219	1.111962	-3.698562e+06	0.500017	0.614768
9.030978e+11	1.995105	1.194633	-4.444528e+06	0.499973	0.610525
1.167374e+12	2.567520	1.281982	-3.666729e+06	0.499944	0.606073
1.518706e+12	3.303340	1.373962	-3.042685e+05	0.500036	0.601463
1.981707e+12	4.250559	1.470995	-1.869447e+06	0.500050	0.596680
2.594206e+12	5.471214	1.573459	-5.749096e+06	0.499927	0.591830
3.416571e+12	7.039158	1.679738	-3.781248e+06	0.500012	0.587399
4.537931e+12	9.058583	1.789030	-6.232572e+06	0.500001	0.583415
6.081096e+12	11.656574	1.900425	-1.004652e+07	0.500007	0.580008
8.228469e+12	15.001003	2.013265	-2.899632e+06	0.499969	0.577110
