# PKCl(GPa),aKCl(Å),T (K),phase,ahcp (Å),chcp (Å),afcc (Å),PFe(GPa)
 114.0 , 2.920 ,3207,e, 2.315 , 3.685 ,, 116.0 
 116.0 , 2.913 ,2775,e, 2.301 , 3.701 ,, 116.0 
 115.0 , 2.918 ,3179,e, 2.303 , 3.721 ,, 116.0 
 117.0 , 2.915 ,3188,e, 2.303 , 3.720 ,, 116.0 
 116.0 , 2.917 ,3347,e, 2.304 , 3.731 ,, 116.0 
 115.0 , 2.920 ,3266,e, 2.315 , 3.685 ,, 117.0 
 115.0 , 2.919 ,3506,e, 2.307 , 3.729 ,, 117.0 
 116.0 , 2.914 ,2890,e, 2.298 , 3.712 ,, 117.0 
 116.0 , 2.917 ,3403,e, 2.305 , 3.728 ,, 117.0 
 118.0 , 2.914 ,3706,e, 2.308 , 3.739 ,, 117.0 
 115.0 , 2.919 ,3370,e, 2.315 , 3.685 ,, 118.0 
 117.0 , 2.915 ,3579,e, 2.305 , 3.735 ,, 118.0 
 115.0 , 2.920 ,3642,e, 2.305 , 3.733 ,, 119.0 
 117.0 , 2.916 ,3692,e, 2.309 , 3.718 ,, 119.0 
 115.0 , 2.920 ,3416,e, 2.308 , 3.697 ,, 120.0 
 128.0 , 2.889 ,3381,e, 2.301 , 3.715 ,, 120.0 
 129.0 , 2.888 ,3532,e, 2.299 , 3.719 ,, 122.0 
 129.0 , 2.887 ,3178,e, 2.290 , 3.710 ,, 124.0 
 128.0 , 2.886 ,2935,e, 2.290 , 3.691 ,, 125.0 
 128.0 , 2.887 ,3109,e, 2.289 , 3.703 ,, 125.0 
 129.0 , 2.889 ,3679,e, 2.301 , 3.704 ,, 125.0 
 129.0 , 2.887 ,3264,e, 2.290 , 3.700 ,, 127.0 
 133.0 , 2.877 ,3276,e, 2.283 , 3.710 ,, 129.0 
 133.0 , 2.878 ,3463,e, 2.288 , 3.705 ,, 129.0 
 135.0 , 2.875 ,3850,e, 2.296 , 3.710 ,, 129.0 
 129.0 , 2.890 ,3961,e, 2.298 , 3.704 ,, 130.0 
 133.0 , 2.875 ,3132,e, 2.280 , 3.705 ,, 130.0 
 134.0 , 2.879 ,3559,e, 2.288 , 3.710 ,, 130.0 
 133.0 , 2.878 ,3575,e, 2.287 , 3.710 ,, 130.0 
 134.0 , 2.879 ,3671,e, 2.289 , 3.711 ,, 130.0 
 129.0 , 2.886 ,3346,e, 2.280 , 3.720 ,, 130.0 
 133.0 , 2.877 ,3083,e, 2.281 , 3.692 ,, 131.0 
 133.0 , 2.879 ,3280,e, 2.283 , 3.702 ,, 131.0 
