# Gao et al. 2022, ab initio silica-water mixture
# P (GPa)	T(1000 K)
446.56891012439246	 2.975073121569036
459.66718840102146	 3.976665991510668
472.3288574017629	 4.9732592091404015
484.9905264025043	 5.96751082579892
497.2155861273581	 6.968470795001624
509.87725512809953	 7.964201317536698
650.9020512398056	 2.9814434146415003
664.0003295164347	 3.9750255444184415
677.0986077930637	 4.9673752526315855
690.1968860696927	 5.962806014754227
705.9148200016476	 6.965065165348845
716.8300518988385	 7.96230283492461
730.3649394513552	 8.94603393716968
746.08287338331	 9.951374141673796
868.3334706318478	 3.980163415927107
881.431748908477	 4.968815859448856
894.9666364609936	 5.964224156010914
909.3747425652855	 6.970186346900482
922.0364115660268	 7.954516969970421
936.4445176703189	 8.949972767028605
951.2892330504985	 9.945436909065304
970.0634319136668	 10.931609752023768
