# P(mbar)	T(K)
# from Figure 3 in Helled et al. 2022 https://arxiv.org/abs/2202.10046
7.8581903218863465	0.1083510418001342
7.869453300809036	0.13419036533569464
7.410689550881842	0.1706949251798895
7.198521189463836	0.2230133771414456
6.780084358700924	0.29136757482168074
6.384255787742397	0.3657084357164211
5.6514627548421155	0.45292179733403504
4.851727003051526	0.5761326613491919
4.388699774327783	0.7010260645991567
3.7718812767670875	0.8579786966374372
3.241563032928844	1.0408379361398044
2.702073188164092	1.2710613679287466
2.252236848179531	1.538559140850169
1.8488232182025113	1.8629399703150402
1.4720122606516375	2.2617674259774345
1.171962479535727	2.733015996153782
0.9473637303932392	3.2620737634724923
0.7315376160580974	3.9291714361938173
0.5648509548172989	4.695887319364679
0.42952727412869096	5.604918098642826
0.3266070900336014	6.639465299191264
0.23326871389082648	8.575048296207948
0.17700342758441878	10.762925492029117
0.14285405481629915	13.509027721534476
0.10838741964385967	16.730631613368526
0.07974642107318569	20.999361784224927
0.062395244039784116	25.661900951926903
0.05189723629126414	28.94266124716749
