# P(mbar)	T(K)
# from Figure 3 in Helled et al. 2022 https://arxiv.org/abs/2202.10046
0.007616828567516561	0.10270959825118758
0.010378399659604519	0.11897937907435846
0.013295384035113616	0.13782638512809314
0.0165120415331738	0.15544687757765302
0.021817400361120315	0.18249382998118718
0.030661326827561966	0.2142468121597717
0.03928260827178519	0.2515246489448788
0.05874991342730056	0.3199483139131415
0.08005038791551584	0.3706299350151862
0.1125198478996397	0.4469075656236807
0.15331524673150443	0.5177002497030396
0.2088827997352649	0.5917435418656307
0.27589854102434147	0.6585331604665077
0.34255685379896084	0.7135275399648112
0.45233766993811675	0.7628485347646075
0.6158968127961745	0.7940628206798699
0.8129122553260365	0.7940628206798699
1.0400875538352536	0.7628485347646075
1.459475963668204	0.7135275399648112
1.8670047504236007	0.6673953309031854
2.3881138251027108	0.6159565425630797
3.0549457250483747	0.5761326613491919
4.030008441453602	0.531727846615387
4.847385884079068	0.5040427170564394
