# Millot et al. (2019), solid-superionic boundary from ref. 15 in Fig. 4
# pressure (GPa)	temperature (K)
58.02621648860884	1384.1523862031345
61.28494138342255	1427.5808801254652
70.0471335872832	1554.0936070647012
79.81715619968962	1660.0175990712332
84.00929949508807	1687.6313429847387
92.77731749522695	1776.894290091016
102.03958698472488	1852.4567306697281
114.82626195483198	1945.6626961583488
118.48888123938715	1966.3727327355573
127.03458358230927	2011.3530218214837
130.69595610839056	2021.8801585632218
139.24027386024363	2055.551800093176
142.90130806995515	2063.3157378845863
151.98706300085928	2090.474358569061
159.73841784954504	2107.657819088503
168.18738841583436	2114.624919256363
176.66231837503838	2119.7189032896786
180.32278872413355	2122.877509497208
192.06245118618256	2114.200096075396
203.816328242354	2113.9909523555352
214.48073184264172	2099.7035429917896
218.9864245005527	2107.6615941377613
229.52444857406465	2085.0637616023023
239.28440275952767	2070.6067375840503
243.14715262275325	2065.120332672316
251.88804079999636	2043.5179807962168
255.75064264981017	2036.8226763437142
264.4920296870708	2019.2947636605768
268.3544341856689	2010.9875931537163
277.6767417554631	1993.091150569422
280.9575021004033	1979.2423344310719
289.2907887514767	1950.080403122146
293.15286981336016	1939.1315632484202
301.4856466404596	1905.8056446324017
305.3478757157548	1896.0657042994453
314.0872234571197	1861.8818423879393
317.9494360864803	1852.007579883787
326.2822567694055	1819.0398537242927
330.1443816871146	1808.449206307092
338.4765006768284	1769.7504008432134
342.3381212525418	1755.0405401759863
350.66925348617696	1708.282404440317
354.5309562915636	1694.244154629072
362.86235714213126	1649.6799476896122
366.7237913305854	1633.4477690821577
375.4614780325513	1585.697367879805
379.1192919716318	1567.159745292165
386.8385124836083	1504.9014512470967
390.6993491364371	1483.7889004195022
398.62191501573676	1421.5909512074759
402.48297642967236	1402.3141367195685
