# K2-18b_model2_neptune_like
# Calculated total mass (Me): 8.6323368496
# Calculated total radius (Re): 2.6479532256
# Calculated surface pressure (bar): 0.3016368775
# Calculated surface density (kg m-3): 0.0332371821
# Mass at layer boundaries (Me): 1.2820836947 3.8849437859 8.6305908010 8.6323368496
# Radius at layer boundaries (Re): 0.6978512008 1.2764102967 2.4099686078 2.6479532256
# Pressure at layer boundaries (GPa): 1098.3905876140 352.3406063553 0.0466341277 0.0000301637
# Temperature at layer boundaries (K): 8000.0000000000 8000.0000000000 1801.1224160149 255.5069202060
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
2.0982644749e+16	6.0100000000e+03	2.4089973550e+12	23662.6520575196	8000.0000000000	core
2.2056689126e+16	6.1100000000e+03	2.4089972632e+12	23662.6517869065	8000.0000000000	core
2.3166772754e+16	6.2100000000e+03	2.4089971699e+12	23662.6515115966	8000.0000000000	core
2.4313490338e+16	6.3100000000e+03	2.4089970750e+12	23662.6512315899	8000.0000000000	core
2.5497436584e+16	6.4100000000e+03	2.4089969786e+12	23662.6509468863	8000.0000000000	core
2.6719206200e+16	6.5100000000e+03	2.4089968806e+12	23662.6506574859	8000.0000000000	core
2.7979393891e+16	6.6100000000e+03	2.4089967810e+12	23662.6503633886	8000.0000000000	core
2.9278594363e+16	6.7100000000e+03	2.4089966799e+12	23662.6500645945	8000.0000000000	core
3.0617402322e+16	6.8100000000e+03	2.4089965772e+12	23662.6497611034	8000.0000000000	core
3.1996412475e+16	6.9100000000e+03	2.4089964729e+12	23662.6494529154	8000.0000000000	core
3.3416219526e+16	7.0100000000e+03	2.4089963671e+12	23662.6491400305	8000.0000000000	core
3.4877418182e+16	7.1100000000e+03	2.4089962597e+12	23662.6488224486	8000.0000000000	core
3.6380603150e+16	7.2100000000e+03	2.4089961507e+12	23662.6485001698	8000.0000000000	core
3.7926369133e+16	7.3100000000e+03	2.4089960402e+12	23662.6481731939	8000.0000000000	core
3.9515310839e+16	7.4100000000e+03	2.4089959281e+12	23662.6478415211	8000.0000000000	core
4.1148022974e+16	7.5100000000e+03	2.4089958144e+12	23662.6475051513	8000.0000000000	core
4.2825100241e+16	7.6100000000e+03	2.4089956992e+12	23662.6471640845	8000.0000000000	core
4.4547137348e+16	7.7100000000e+03	2.4089955824e+12	23662.6468183207	8000.0000000000	core
4.6314729000e+16	7.8100000000e+03	2.4089954641e+12	23662.6464678598	8000.0000000000	core
4.8128469902e+16	7.9100000000e+03	2.4089953442e+12	23662.6461127019	8000.0000000000	core
4.9988954760e+16	8.0100000000e+03	2.4089952227e+12	23662.6457528469	8000.0000000000	core
5.1896778279e+16	8.1100000000e+03	2.4089950996e+12	23662.6453882948	8000.0000000000	core
5.3852535164e+16	8.2100000000e+03	2.4089949750e+12	23662.6450190457	8000.0000000000	core
5.5856820120e+16	8.3100000000e+03	2.4089948488e+12	23662.6446450995	8000.0000000000	core
5.7910227854e+16	8.4100000000e+03	2.4089947211e+12	23662.6442664562	8000.0000000000	core
6.0013353069e+16	8.5100000000e+03	2.4089945918e+12	23662.6438831158	8000.0000000000	core
6.2166790472e+16	8.6100000000e+03	2.4089944609e+12	23662.6434950783	8000.0000000000	core
6.4371134767e+16	8.7100000000e+03	2.4089943285e+12	23662.6431023437	8000.0000000000	core
6.6626980658e+16	8.8100000000e+03	2.4089941945e+12	23662.6427049119	8000.0000000000	core
6.8934922852e+16	8.9100000000e+03	2.4089940589e+12	23662.6423027831	8000.0000000000	core
7.1295556052e+16	9.0100000000e+03	2.4089939218e+12	23662.6418959571	8000.0000000000	core
7.3709474964e+16	9.1100000000e+03	2.4089937830e+12	23662.6414844339	8000.0000000000	core
7.6177274293e+16	9.2100000000e+03	2.4089936428e+12	23662.6410682136	8000.0000000000	core
7.8699548742e+16	9.3100000000e+03	2.4089935009e+12	23662.6406472962	8000.0000000000	core
8.1276893017e+16	9.4100000000e+03	2.4089933576e+12	23662.6402216815	8000.0000000000	core
8.3909901822e+16	9.5100000000e+03	2.4089932126e+12	23662.6397913698	8000.0000000000	core
8.6599169862e+16	9.6100000000e+03	2.4089930661e+12	23662.6393563608	8000.0000000000	core
8.9345291840e+16	9.7100000000e+03	2.4089929180e+12	23662.6389166547	8000.0000000000	core
9.2148862462e+16	9.8100000000e+03	2.4089927683e+12	23662.6384722514	8000.0000000000	core
9.5010476432e+16	9.9100000000e+03	2.4089926171e+12	23662.6380231509	8000.0000000000	core
9.7930728453e+16	1.0010000000e+04	2.4089924643e+12	23662.6375693532	8000.0000000000	core
1.0091021323e+17	1.0110000000e+04	2.4089923099e+12	23662.6371108583	8000.0000000000	core
1.0394952547e+17	1.0210000000e+04	2.4089921540e+12	23662.6366476662	8000.0000000000	core
1.0704925987e+17	1.0310000000e+04	2.4089919965e+12	23662.6361797769	8000.0000000000	core
1.1021001114e+17	1.0410000000e+04	2.4089918375e+12	23662.6357071904	8000.0000000000	core
1.1343237398e+17	1.0510000000e+04	2.4089916769e+12	23662.6352299067	8000.0000000000	core
1.1671694309e+17	1.0610000000e+04	2.4089915147e+12	23662.6347479258	8000.0000000000	core
1.2006431319e+17	1.0710000000e+04	2.4089913509e+12	23662.6342612477	8000.0000000000	core
1.2347507897e+17	1.0810000000e+04	2.4089911856e+12	23662.6337698723	8000.0000000000	core
1.2694983513e+17	1.0910000000e+04	2.4089910188e+12	23662.6332737997	8000.0000000000	core
1.3048917639e+17	1.1010000000e+04	2.4089908503e+12	23662.6327730299	8000.0000000000	core
1.3409369743e+17	1.1110000000e+04	2.4089906803e+12	23662.6322675628	8000.0000000000	core
1.3776399298e+17	1.1210000000e+04	2.4089905087e+12	23662.6317573985	8000.0000000000	core
1.4150065772e+17	1.1310000000e+04	2.4089903356e+12	23662.6312425370	8000.0000000000	core
1.4530428637e+17	1.1410000000e+04	2.4089901609e+12	23662.6307229782	8000.0000000000	core
1.4917547362e+17	1.1510000000e+04	2.4089899846e+12	23662.6301987222	8000.0000000000	core
1.5311481418e+17	1.1610000000e+04	2.4089898068e+12	23662.6296697689	8000.0000000000	core
1.5712290276e+17	1.1710000000e+04	2.4089896274e+12	23662.6291361184	8000.0000000000	core
1.6120033405e+17	1.1810000000e+04	2.4089894464e+12	23662.6285977706	8000.0000000000	core
1.6534770275e+17	1.1910000000e+04	2.4089892639e+12	23662.6280547256	8000.0000000000	core
1.6956560358e+17	1.2010000000e+04	2.4089890798e+12	23662.6275069833	8000.0000000000	core
1.7385463123e+17	1.2110000000e+04	2.4089888941e+12	23662.6269545437	8000.0000000000	core
1.7821538041e+17	1.2210000000e+04	2.4089887069e+12	23662.6263974069	8000.0000000000	core
1.8264844581e+17	1.2310000000e+04	2.4089885181e+12	23662.6258355728	8000.0000000000	core
1.8715442214e+17	1.2410000000e+04	2.4089883278e+12	23662.6252690415	8000.0000000000	core
1.9173390411e+17	1.2510000000e+04	2.4089881358e+12	23662.6246978128	8000.0000000000	core
1.9638748641e+17	1.2610000000e+04	2.4089879423e+12	23662.6241218870	8000.0000000000	core
2.0111576375e+17	1.2710000000e+04	2.4089877473e+12	23662.6235412638	8000.0000000000	core
2.0591933083e+17	1.2810000000e+04	2.4089875507e+12	23662.6229559433	8000.0000000000	core
2.1079878234e+17	1.2910000000e+04	2.4089873525e+12	23662.6223659256	8000.0000000000	core
2.1575471300e+17	1.3010000000e+04	2.4089871527e+12	23662.6217712106	8000.0000000000	core
2.2078771751e+17	1.3110000000e+04	2.4089869514e+12	23662.6211717984	8000.0000000000	core
2.2589839056e+17	1.3210000000e+04	2.4089867486e+12	23662.6205676888	8000.0000000000	core
2.3108732686e+17	1.3310000000e+04	2.4089865441e+12	23662.6199588820	8000.0000000000	core
2.3635512110e+17	1.3410000000e+04	2.4089863381e+12	23662.6193453778	8000.0000000000	core
2.4170236800e+17	1.3510000000e+04	2.4089861305e+12	23662.6187271764	8000.0000000000	core
2.4712966225e+17	1.3610000000e+04	2.4089859214e+12	23662.6181042777	8000.0000000000	core
2.5263759855e+17	1.3710000000e+04	2.4089857107e+12	23662.6174766817	8000.0000000000	core
