# Earth_isothermal_iron_silicate_2layer
# Calculated total mass (Me): 1.0000047960
# Calculated total radius (Re): 0.9708381730
# Calculated surface pressure (bar): 45.5529589543
# Calculated surface density (kg m-3): 4000.1724453762
# Mass at layer boundaries (Me): 0.3250247227 1.0000047960
# Radius at layer boundaries (Re): 0.5147559253 0.9708381730
# Pressure at layer boundaries (GPa): 154.6710003733 0.0045552959
# Temperature at layer boundaries (K): 300.0000000000 300.0000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
1.2512788371e+16	5.9100000000e+03	4.3808899434e+11	14845.8216420905	300.0000000000	N/A
1.3164400358e+16	6.0100000000e+03	4.3808895885e+11	14845.8213602851	300.0000000000	N/A
1.3838250056e+16	6.1100000000e+03	4.3808892273e+11	14845.8210735022	300.0000000000	N/A
1.4534710582e+16	6.2100000000e+03	4.3808888601e+11	14845.8207817420	300.0000000000	N/A
1.5254155051e+16	6.3100000000e+03	4.3808884866e+11	14845.8204850042	300.0000000000	N/A
1.5996956577e+16	6.4100000000e+03	4.3808881070e+11	14845.8201832890	300.0000000000	N/A
1.6763488275e+16	6.5100000000e+03	4.3808877212e+11	14845.8198765963	300.0000000000	N/A
1.7554123261e+16	6.6100000000e+03	4.3808873293e+11	14845.8195649261	300.0000000000	N/A
1.8369234649e+16	6.7100000000e+03	4.3808869312e+11	14845.8192482784	300.0000000000	N/A
1.9209195555e+16	6.8100000000e+03	4.3808865269e+11	14845.8189266531	300.0000000000	N/A
2.0074379092e+16	6.9100000000e+03	4.3808861165e+11	14845.8186000502	300.0000000000	N/A
2.0965158376e+16	7.0100000000e+03	4.3808856999e+11	14845.8182684698	300.0000000000	N/A
2.1881906521e+16	7.1100000000e+03	4.3808852772e+11	14845.8179319118	300.0000000000	N/A
2.2824996642e+16	7.2100000000e+03	4.3808848483e+11	14845.8175903761	300.0000000000	N/A
2.3794801853e+16	7.3100000000e+03	4.3808844132e+11	14845.8172438628	300.0000000000	N/A
2.4791695269e+16	7.4100000000e+03	4.3808839720e+11	14845.8168923719	300.0000000000	N/A
2.5816050005e+16	7.5100000000e+03	4.3808835246e+11	14845.8165359033	300.0000000000	N/A
2.6868239175e+16	7.6100000000e+03	4.3808830711e+11	14845.8161744571	300.0000000000	N/A
2.7948635893e+16	7.7100000000e+03	4.3808826114e+11	14845.8158080332	300.0000000000	N/A
2.9057613274e+16	7.8100000000e+03	4.3808821455e+11	14845.8154366316	300.0000000000	N/A
3.0195544431e+16	7.9100000000e+03	4.3808816735e+11	14845.8150602523	300.0000000000	N/A
3.1362802479e+16	8.0100000000e+03	4.3808811953e+11	14845.8146788953	300.0000000000	N/A
3.2559760533e+16	8.1100000000e+03	4.3808807110e+11	14845.8142925606	300.0000000000	N/A
3.3786791706e+16	8.2100000000e+03	4.3808802204e+11	14845.8139012482	300.0000000000	N/A
3.5044269111e+16	8.3100000000e+03	4.3808797238e+11	14845.8135049580	300.0000000000	N/A
3.6332565864e+16	8.4100000000e+03	4.3808792209e+11	14845.8131036901	300.0000000000	N/A
3.7652055078e+16	8.5100000000e+03	4.3808787119e+11	14845.8126974444	300.0000000000	N/A
3.9003109867e+16	8.6100000000e+03	4.3808781968e+11	14845.8122862209	300.0000000000	N/A
4.0386103344e+16	8.7100000000e+03	4.3808776755e+11	14845.8118700197	300.0000000000	N/A
4.1801408624e+16	8.8100000000e+03	4.3808771480e+11	14845.8114488407	300.0000000000	N/A
4.3249398820e+16	8.9100000000e+03	4.3808766144e+11	14845.8110226840	300.0000000000	N/A
4.4730447045e+16	9.0100000000e+03	4.3808760745e+11	14845.8105915494	300.0000000000	N/A
4.6244926413e+16	9.1100000000e+03	4.3808755286e+11	14845.8101554371	300.0000000000	N/A
4.7793210038e+16	9.2100000000e+03	4.3808749765e+11	14845.8097143469	300.0000000000	N/A
4.9375671033e+16	9.3100000000e+03	4.3808744182e+11	14845.8092682790	300.0000000000	N/A
5.0992682511e+16	9.4100000000e+03	4.3808738537e+11	14845.8088172332	300.0000000000	N/A
5.2644617585e+16	9.5100000000e+03	4.3808732831e+11	14845.8083612096	300.0000000000	N/A
5.4331849369e+16	9.6100000000e+03	4.3808727063e+11	14845.8079002081	300.0000000000	N/A
5.6054750976e+16	9.7100000000e+03	4.3808721234e+11	14845.8074342289	300.0000000000	N/A
5.7813695518e+16	9.8100000000e+03	4.3808715343e+11	14845.8069632718	300.0000000000	N/A
5.9609056109e+16	9.9100000000e+03	4.3808709391e+11	14845.8064873369	300.0000000000	N/A
6.1441205862e+16	1.0010000000e+04	4.3808703377e+11	14845.8060064241	300.0000000000	N/A
6.3310517889e+16	1.0110000000e+04	4.3808697301e+11	14845.8055205335	300.0000000000	N/A
6.5217365303e+16	1.0210000000e+04	4.3808691163e+11	14845.8050296650	300.0000000000	N/A
6.7162121217e+16	1.0310000000e+04	4.3808684964e+11	14845.8045338186	300.0000000000	N/A
6.9145158743e+16	1.0410000000e+04	4.3808678704e+11	14845.8040329944	300.0000000000	N/A
7.1166850995e+16	1.0510000000e+04	4.3808672382e+11	14845.8035271923	300.0000000000	N/A
7.3227571083e+16	1.0610000000e+04	4.3808665998e+11	14845.8030164124	300.0000000000	N/A
7.5327692122e+16	1.0710000000e+04	4.3808659552e+11	14845.8025006546	300.0000000000	N/A
7.7467587222e+16	1.0810000000e+04	4.3808653045e+11	14845.8019799189	300.0000000000	N/A
