# Earth_adiabatic_iron_silicate_2layer
# Calculated total mass (Me): 0.9998795466
# Calculated total radius (Re): 0.9868325224
# Calculated surface pressure (bar): 14.0129496395
# Calculated surface density (kg m-3): 3359.5000000000
# Mass at layer boundaries (Me): 0.3250077055 0.9998795466
# Radius at layer boundaries (Re): 0.5154151625 0.9868325224
# Pressure at layer boundaries (GPa): 152.3542098369 0.0014012950
# Temperature at layer boundaries (K): 4231.1583516629 2581.6548129777
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
8.0190681128e+15	5.1100000000e+03	4.3409926289e+11	14778.3584276517	5499.9974629915	N/A
8.5039967812e+15	5.2100000000e+03	4.3409923259e+11	14778.3581887302	5499.9973587354	N/A
9.0080907474e+15	5.3100000000e+03	4.3409920169e+11	14778.3579448946	5499.9972523783	N/A
9.5317214312e+15	5.4100000000e+03	4.3409917018e+11	14778.3576961448	5499.9971439199	N/A
1.0075260253e+16	5.5100000000e+03	4.3409913806e+11	14778.3574424808	5499.9970333605	N/A
1.0639078631e+16	5.6100000000e+03	4.3409910533e+11	14778.3571839027	5499.9969206998	N/A
1.1223547987e+16	5.7100000000e+03	4.3409907198e+11	14778.3569204102	5499.9968059380	N/A
1.1829039739e+16	5.8100000000e+03	4.3409903803e+11	14778.3566520036	5499.9966890749	N/A
1.2455925308e+16	5.9100000000e+03	4.3409900346e+11	14778.3563786826	5499.9965701107	N/A
1.3104576112e+16	6.0100000000e+03	4.3409896829e+11	14778.3561004473	5499.9964490452	N/A
1.3775363572e+16	6.1100000000e+03	4.3409893250e+11	14778.3558172976	5499.9963258785	N/A
1.4468659107e+16	6.2100000000e+03	4.3409889611e+11	14778.3555292336	5499.9962006106	N/A
1.5184834137e+16	6.3100000000e+03	4.3409885910e+11	14778.3552362551	5499.9960732414	N/A
1.5924260081e+16	6.4100000000e+03	4.3409882148e+11	14778.3549383623	5499.9959437710	N/A
1.6687308358e+16	6.5100000000e+03	4.3409878326e+11	14778.3546355550	5499.9958121993	N/A
1.7474350388e+16	6.6100000000e+03	4.3409874442e+11	14778.3543278333	5499.9956785263	N/A
1.8285757589e+16	6.7100000000e+03	4.3409870497e+11	14778.3540151970	5499.9955427521	N/A
1.9121901382e+16	6.8100000000e+03	4.3409866491e+11	14778.3536976463	5499.9954048765	N/A
1.9983153186e+16	6.9100000000e+03	4.3409862424e+11	14778.3533751811	5499.9952648997	N/A
2.0869884419e+16	7.0100000000e+03	4.3409858296e+11	14778.3530478014	5499.9951228215	N/A
2.1782466501e+16	7.1100000000e+03	4.3409854107e+11	14778.3527155071	5499.9949786421	N/A
2.2721270851e+16	7.2100000000e+03	4.3409849857e+11	14778.3523782983	5499.9948323613	N/A
2.3686668887e+16	7.3100000000e+03	4.3409845546e+11	14778.3520361749	5499.9946839792	N/A
2.4679032030e+16	7.4100000000e+03	4.3409841174e+11	14778.3516891370	5499.9945334958	N/A
2.5698731697e+16	7.5100000000e+03	4.3409836740e+11	14778.3513371844	5499.9943809110	N/A
2.6746139307e+16	7.6100000000e+03	4.3409832246e+11	14778.3509803173	5499.9942262249	N/A
2.7821626280e+16	7.7100000000e+03	4.3409827691e+11	14778.3506185355	5499.9940694375	N/A
2.8925564034e+16	7.8100000000e+03	4.3409823074e+11	14778.3502518391	5499.9939105487	N/A
3.0058323988e+16	7.9100000000e+03	4.3409818397e+11	14778.3498802280	5499.9937495586	N/A
3.1220277560e+16	8.0100000000e+03	4.3409813658e+11	14778.3495037024	5499.9935864671	N/A
3.2411796169e+16	8.1100000000e+03	4.3409808859e+11	14778.3491222620	5499.9934212742	N/A
3.3633251233e+16	8.2100000000e+03	4.3409803998e+11	14778.3487359070	5499.9932539800	N/A
3.4885014171e+16	8.3100000000e+03	4.3409799076e+11	14778.3483446373	5499.9930845844	N/A
3.6167456402e+16	8.4100000000e+03	4.3409794094e+11	14778.3479484530	5499.9929130874	N/A
3.7480949343e+16	8.5100000000e+03	4.3409789050e+11	14778.3475473539	5499.9927394890	N/A
3.8825864413e+16	8.6100000000e+03	4.3409783945e+11	14778.3471413402	5499.9925637893	N/A
4.0202573030e+16	8.7100000000e+03	4.3409778779e+11	14778.3467304117	5499.9923859882	N/A
4.1611446613e+16	8.8100000000e+03	4.3409773552e+11	14778.3463145685	5499.9922060857	N/A
4.3052856579e+16	8.9100000000e+03	4.3409768264e+11	14778.3458938107	5499.9920240818	N/A
4.4527174346e+16	9.0100000000e+03	4.3409762915e+11	14778.3454681380	5499.9918399765	N/A
4.6034771332e+16	9.1100000000e+03	4.3409757505e+11	14778.3450375507	5499.9916537698	N/A
4.7576018956e+16	9.2100000000e+03	4.3409752034e+11	14778.3446020486	5499.9914654617	N/A
4.9151288635e+16	9.3100000000e+03	4.3409746502e+11	14778.3441616317	5499.9912750522	N/A
