# a2	a3	a4	a5	a6	a7	a8	v1	v2	sigma1	sigma2	z1	z2
-7217.723799845191	-362.84245933639795	777.9331453513641	6240.6704168416745	-2450.952633501198	2743.0455315122	-3083.6842498499673	568.389211255163	907.5976093426722	4910.773124644041	1916.5170515239126	0.336283943395283	0.5765689728139167
-3579.1805935731945	2763.4411727483657	-2196.704709020514	1544.443271090202	779.8258753550963	7533.930944305725	-8377.645115916534	796.6291203874142	896.1096421480026	6478.924021905607	934.2290152554056	0.31911221629319314	0.7467977819971674
-6297.137211191903	3836.7119318629284	6219.505572246475	-7746.517731391785	-2655.175686684055	1181.0584191454982	2534.100733101017	584.9706544114977	364.9433528008249	7883.061455057193	1099.9573312109856	0.2253801736694464	0.5155800376031171
-3039.8220392509274	4791.495355376126	-5748.703703655074	-9462.844336867762	7845.322365868356	7399.375129739477	-4765.809837659254	86.10478716216909	282.22969816587374	1481.8922982708639	1174.6601773979203	0.06746306503386765	0.5028893493804099
-7206.850019544817	-4494.020951166275	4876.579457054195	3607.0824882113484	4777.980294944395	-2863.7271104229094	-2702.399986550932	327.4518771163225	204.01038694869987	2895.3485364065236	555.2891350392208	0.2839066377153204	0.8010621731175858
-6292.488659743394	-2893.9423685853963	1220.0439864843102	2052.0524155631974	2755.4228233733284	6055.9629844470455	-6775.061177633144	803.3074662854923	592.42977528773	8166.838245802391	1937.209745650851	0.22438674291054944	0.537772746248651
-186.80632881088968	-3462.8554528924906	-2281.744760895992	-1469.3460863115379	9152.798926610285	6212.553742068929	-9906.349010775353	916.2973611138884	220.64977756329242	9884.459994479716	1914.0225099747488	0.2679231967010508	0.5078298732502977
-3284.7058639186134	2728.6142479781356	4334.982575008065	-4293.66245981563	-682.4425518444441	-7330.8638448903075	7161.794518461491	73.26326478139535	243.44874186976926	3638.310920423834	3055.390029317344	0.2989522127903367	0.5690415877450521
-9536.891459140517	9926.201133746672	2341.5323977778553	-4943.061468104861	-911.7195422724508	3298.7585875224013	-2847.6964434486954	944.5865037026796	975.5668500022514	2770.4908456393164	1513.0984460749387	0.14120318564190656	0.5531762928917382
-1652.9999052653602	126.12347141441023	77.84378811819442	-2614.24691363072	9023.539125766463	-4362.549372380809	-2396.9754630621164	495.95932623219574	487.5661498057502	2712.2172050704794	682.0928645103186	0.24212636834252116	0.6858116173733222
-9631.287608819359	-102.78967108229153	4821.381072724367	9475.855656902248	-6316.342668999951	-5951.483109754654	3655.0582922945687	990.2816282184133	653.1316360841951	5510.877667021231	737.8695232574362	0.16053808980735718	0.7102029478015904
-2010.7526364166506	-1144.0833056029915	62.88671912523387	9277.773304828912	-8725.902527056534	-5392.89381096349	5746.030011716375	616.8719013681495	719.9835080183545	3925.56179061478	789.796519692324	0.07826477456073916	0.7130518596150144
182.3310988685007	-1248.3775787550221	-8800.202002666569	9917.044654266232	-258.20767157540286	1595.6786583272878	-3732.6994026632046	379.2337145846717	147.1048703437487	4979.493961826565	254.93494243090552	0.11103111976938726	0.6421746894001836
