# a2	a3	a4	a5	a6	a7	a8	v1	v2	sigma1	sigma2	z1	z2
-9459.77351262076	6104.057549944824	9618.88463111062	-7055.733511856825	-4763.492785602505	-3159.959338553449	5381.123050417738	79.68625049087512	306.5755760149168	5624.39441674504	353.01098508096374	0.14514295633289082	0.516436754951705
-4161.111255251187	-2625.1269810407393	8103.94379353779	1371.85834412837	-5266.380890020366	7871.490483389509	-7586.404640794153	434.61023398720783	640.5063686626062	5862.064685658243	1744.9634771565225	0.05893070034237599	0.5326293875415837
-6103.0102170916025	1479.1097745603201	-1933.9713097912	9751.370628929271	-4530.327334311588	972.1246304820088	-2514.3247562435754	883.750305669806	582.0087270930552	9462.898413418701	2052.83213277031	0.21029826355357978	0.5168404804979516
-5134.758746681149	8371.354903639909	-4390.354914634478	5215.308943533279	-2120.9014893097437	-9068.755889778598	5980.156064891402	352.4855716324523	346.9133354428594	3982.39661769054	4069.842094487728	0.2334728649903433	0.5448039039295869
-3182.0566663360305	-1987.4730957526344	493.0885984481265	-3710.4886047014606	4268.614543956952	9091.032323614112	-7706.54947495546	547.6804967871678	256.2237010389358	459.63844802673793	2479.6873561670864	0.40896247664891416	0.5948687382351131
-7475.911038406528	-636.4301268587642	6731.562631848705	-3772.375842562741	-474.678087537146	4739.649506829312	-2730.80821331638	835.6971188236926	533.9001234140751	9985.045054898432	2992.641143532648	0.1479185075111002	0.5062863691458478
-2971.158455194356	6866.558944873603	-8825.186648820458	-2829.3449561525067	351.0940277485279	9851.410363966199	-5041.824809090594	774.7005051936068	363.95594334068966	425.1821525636368	676.0712431271676	0.10751094867717204	0.5665831243298951
-4659.511584395442	-1262.0410002876724	7288.567466701868	-3498.6299719640556	-4286.351896942797	6778.833218220836	-2687.8477851781254	123.88251940474555	343.30679955721865	7285.776942798057	4136.952658826743	0.12970276590795587	0.5278979654722592
-5998.163492991631	4397.323362551311	4448.616481509291	-7469.476117945617	1730.7025130751736	2305.7629425975247	-1510.3036586493963	849.3315302444151	712.6486917829692	5443.4623798830125	3055.7482448144447	0.28514356786137307	0.5363749966662883
-1370.1012843545486	-3919.184654156258	-2948.1984706154926	9241.628386769142	2265.398687531815	633.3485405771098	-5900.621174251383	583.9123668685298	505.14735922630143	1020.4559454988527	3507.6866084236967	0.2599474008475217	0.5210468259598618
-4799.79254027302	762.9677140812837	4111.624661565056	-7974.542667526938	8467.387967943745	2287.1059301821897	-4657.643016742385	123.04819570781903	59.97885906985431	3817.7136704791014	1657.638144119349	0.40174912046886185	0.7162968368421965
-1325.659716658647	-7876.454807912814	2935.4584642947684	9061.89010915286	-5755.776961189114	9336.9710423849	-8722.206306083273	809.0101110656632	42.12631200190532	12539.16458029018	1562.7224125379935	0.07598605738695986	0.6644601360448481
368.29173349619487	-6107.361840230663	1958.4793520998828	2478.421186117457	4048.9954431659608	-4006.3607166130714	-713.195958846989	268.85203345473604	964.9170780173697	15034.634133158937	742.9353956723684	0.07816559181206673	0.7451204212503078
-1297.0416771127475	2657.83768805655	-5192.669464528357	-3331.471858592028	5646.124358442115	-7129.002459042548	5863.597624820144	870.7021753292556	86.97509536328508	407.879157244464	307.7616473679501	0.3042337348125353	0.6002503321141093
-5355.540908788176	5446.550765847138	-6694.065886283577	-1931.364082835552	7128.976483824968	4557.250267103991	-6076.752860365756	737.9841882144992	199.47407361050767	4154.1942752096975	481.81186497927575	0.38267756042607576	0.6018711637063126
-6744.088816500924	7620.525101635692	-2693.9780698870445	1964.7623183386768	1404.2629059390692	-6120.982284805459	2105.2837146073016	401.6164263079184	714.270516599891	1357.6653367700596	812.4506033613277	0.06236416562011504	0.6224096956201077
-441.8153308751771	-1508.5545536219488	-8980.55624813047	9813.949414597377	3189.057826724891	-2354.348504863022	-1328.0952537856156	674.7321206235847	604.925400620102	7192.41367387419	1248.4298727763555	0.32614592337763015	0.7846188642119003
-4730.5198714834405	-5614.911763525943	-936.4166781454351	5104.881781223061	3603.8734689934136	6859.056398795841	-8715.086790454769	93.6479798332238	31.152232360523907	6400.250341512769	94.58538045458154	0.05384573079683935	0.5359087169966457
-3655.009109770719	-249.35923593867847	7635.297168584424	-4321.813381362816	3785.8831380238007	-6037.999601359501	1511.889926519043	235.7216770499885	264.598978552294	13226.890830907772	2081.961335555642	0.18123177646667094	0.6661354061222291
-9474.058430194185	6676.7938929280535	7535.097794580972	-4316.071054746877	-4053.2604041178247	-4258.4057749032845	5001.336291445086	212.90297277715771	568.075282816791	2386.0397899164454	931.4307674972455	0.35509697451241795	0.6286497613940898
-4785.600288650547	-1128.0459522831516	1025.0797467259326	-237.2789513832322	2838.8608868672	1035.8016212059538	-1849.7459878969185	541.5339893718761	900.2608468429698	7709.814857140284	2132.3890402867996	0.08015821957588151	0.5827627696990909
-1828.5929942261018	-2938.9975872392206	199.64866637560408	-42.16076434331808	4366.884476607136	715.9335674717622	-2889.366107994988	507.0688398659469	295.2238024478909	4103.4298388062425	384.7783731691545	0.4325062129716681	0.6584084727591706
-1190.0692317641133	1730.4436469592274	-3583.442723201575	625.0984914064065	-5505.501209415615	7212.871479848669	-1279.511338507933	456.6348643803593	294.1233531029245	2857.1151834796547	2441.135692889229	0.3642491037710235	0.5016999465779658
1845.5259186494004	3113.8119595828302	-8514.140179916561	-6196.4732001555585	8936.497045703807	245.53999771290182	-522.3305169891337	128.09051066809008	241.39977861848504	11840.038693034106	1125.469878115648	0.18340102588301083	0.7033491369525335
-4723.248907179814	-1478.9920975046389	7677.072369210808	-2821.296868804202	-1521.1708224516588	-2440.529190269285	2635.964913810454	587.8031030128896	755.9394166278692	4183.073459761062	1474.6927967825552	0.09920624873448988	0.6554437662682349
284.756286943084	-1250.4840213120533	-2765.7917449667475	3926.260882480243	-7206.762759571914	-1484.9886996457954	6021.527907196307	409.2347638806308	293.9858142500439	5570.517933424466	27.45156446427588	0.2557001396946472	0.7132690802783132
-6749.148384290498	657.4313704339147	431.05918563965497	7907.43579897306	-2215.004630333874	4784.1265640243055	-7935.769323404074	242.3492361460976	92.98174076779554	3548.555152494173	239.02829595788154	0.2903659286310774	0.580117239106994
-7620.562330804523	-2837.4736452944	7236.235631342068	8209.246623522864	-3332.638585857706	-5998.0266817548	1303.7661585435199	833.4368434705017	819.2846755856073	4908.016908703096	1188.982655516534	0.37663212863070966	0.613034211048164
-4007.3295938856645	4874.09987214636	-4450.411244857082	2833.612184959844	-5459.776604340949	7115.995183953597	-2790.03341316175	250.6432183755203	123.20928115150627	8368.779133413225	3324.0022046443064	0.18047669551496287	0.549834186068109
-7629.327540617211	4791.4532310782015	258.7677427964354	1943.2129613966772	-4290.6922202098485	9241.780932670004	-7070.804161328637	388.15391758992024	241.48124722857509	2765.397769307063	877.0857222191707	0.19064702527508914	0.7613717349428235
-2952.7688293210467	-5475.167440649185	4366.927884415512	-3294.902287796129	7083.9421063353	5909.762594730897	-8423.491743913472	546.7832217714173	285.22057816801976	8221.584965977887	3334.739768652529	0.1320576086956327	0.5147531210500401
-2753.0729819140024	-2163.6232301555074	3287.6877575706767	8477.810360606574	-8972.135425149492	130.9370007340858	-306.45538810267317	329.973045911902	632.2950171768418	5950.2559167738045	665.7656099318932	0.11393912385050302	0.5746500459215305
2844.0456842617114	-5876.609309204046	-3857.1430034948007	5759.816760315531	1881.8814841435578	1980.5532222885904	-4415.70094911071	24.95662670327362	906.3879310576775	1888.575433652635	193.9151052791066	0.33932219151729853	0.7805067291083712
-6582.7154695187055	8471.033501821876	235.65026817659964	-6427.976997944246	1868.3842327244802	3931.8734550723675	-3844.4285506735705	690.5862574400052	735.1285951543914	8188.732958242985	140.08422396193043	0.23824024305569969	0.6691840583199362
-8598.716688570243	2397.122672414289	-3702.668825308131	2269.602051097714	8589.658809454733	1967.4316252194276	-7088.5273405214175	764.531129369889	532.0674975290555	9142.84419137887	582.8278303993251	0.055295679073003645	0.7521979405269654
-2347.4441634701825	593.7839989976073	6733.830130671169	491.7501286068564	-8812.836467144676	-7059.015610798764	8768.404909354187	611.338247395206	831.8737827147585	3631.22487910155	1398.0295446683565	0.2788148155579658	0.5574519799879489
-6795.906612809337	-2152.213912757401	9840.96390834797	-5521.41362053312	6294.113476574894	-4141.27724466298	-794.469514528997	163.55844706876337	646.1905218766284	5074.153574639876	1070.8750473898642	0.21537235529804627	0.6031134061948467
-6657.743858430856	472.58969513985176	207.03722581093098	9640.091332157142	-7288.5813345493425	3849.8108371831313	-3774.4508505732856	609.7510771801275	370.0059686361214	2333.3920753816196	194.4561174175574	0.22266054476613328	0.505401850200565
-7541.781182447702	8272.369258413044	1611.102202234677	-8678.375382344266	9296.82879992386	-9033.698769031089	4179.432574744875	450.8777056241172	866.7124422953923	6931.1318377192565	795.9160384301456	0.37331774992520766	0.8099345913274695
-6960.427403795311	9621.033243308408	-3455.127996571652	-8599.885324295086	8671.911756918314	2575.1624525274347	-4179.995723221206	377.4421662187081	909.2918873238965	3346.3224958626492	833.7032770110209	0.2303555957454208	0.7688350135499179
-6310.846383675639	7700.989537920374	-6699.59944680818	-1101.0595696104483	9187.967919142851	-835.6765199879083	-4641.757906344952	771.906875884248	491.92400722131094	8613.68417882864	350.7354507595073	0.06067567162201904	0.7907599983830359
