# z (dimensionless radius)	density (g/cm^3)
0.0	2.338755756114832
0.00315710130577887	2.338755756114832
0.011849458714068423	2.338755756114832
0.019997961653373836	2.338755756114832
0.02814603880545835	2.321747685577378
0.03629432885115333	2.3132436503086495
0.04444240600323787	2.2962355797711957
0.05259069604893285	2.287731544502467
0.060737602286160014	2.223951279987009
0.06888493431060802	2.177179086009005
0.07703269212227692	2.147414962568458
0.08517991769991975	2.0963907509560933
0.09332693038395212	2.036862504074996
0.10208441549589983	1.9507591469791308
0.10962074285840648	1.9093019750440803
0.11776807488285448	1.8625297810660797
0.12591540690730252	1.8157575870880756
0.1340624195913349	1.756229340206982
0.14220985806258812	1.7137091638633457
0.15035772232106226	1.6881970580571597
0.1585054801327312	1.658432934616613
0.16665366373162094	1.6456768817135234
0.1748019537773159	1.6371728464447948
0.18295045671662125	1.6371728464447948
0.1910994918899528	1.658432934616613
0.1992479948292582	1.658432934616613
0.20739628487495315	1.6499288993478878
0.21554393623981682	1.6159127582729766
0.22369211983870663	1.6031567053698836
0.23184030343759637	1.5904006524667906
0.23998838058968092	1.5733925819293368
0.24813635129496026	1.5521324937575187
0.25628453489385	1.5393764408544257
0.264432824939545	1.530872405585697
0.2725812214320451	1.5266203879513327
0.2807292985841297	1.509612317413879
0.2888778015234351	1.509612317413879
0.29702587867551966	1.4926042468764251
0.3051742751680198	1.4883522292420572
0.31332224587329915	1.467092141070239
0.3214702165785785	1.445832052898421
0.3296187195178839	1.445832052898421
0.3377672224571893	1.445832052898421
0.34591572539649473	1.445832052898421
0.3540638025485793	1.4288239823609672
0.36221166680705336	1.4033118765547812
0.37036016974635877	1.4033118765547812
0.37850931136649546	1.4288239823609672
0.38665824009302185	1.445832052898421
0.39480663658552195	1.4415800352640566
0.4029547137376066	1.4245719647265993
0.41110321667691196	1.4245719647265993
0.4192517196162173	1.4245719647265993
0.4274002225555228	1.4245719647265993
0.43554872549482815	1.4245719647265993
0.4436972284341336	1.4245719647265993
0.451845731373439	1.4245719647265993
0.45999423431274444	1.4245719647265993
0.46814263080524454	1.420319947092235
0.4762907079573291	1.4033118765547812
0.48443867866260837	1.382051788382963
0.49258718160191384	1.382051788382963
0.5007356845412192	1.382051788382963
0.5088841874805246	1.382051788382963
0.517032158185804	1.3607917002111414
0.525179490210252	1.3140195062331408
0.5337325974561844	1.2013410389224966
0.5407742056881053	1.1603394403054175
0.545427147610973	1.0267046003682694
0.5521780039977887	0.9963330458370976
0.5568307938537919	0.8566238949937137
0.5637357826801132	0.7832259715433842
0.5706865738245734	0.6530612423743563
0.5776870393403803	0.5795900816635111
0.5854591450893679	0.5444043144132813
0.5936058384329846	0.4721200146290947
0.5997073863763273	0.4059660282603197
0.6052595084763832	0.3876300055268018
0.611530309516547	0.38282764430745075
0.6196779608814106	0.3488115032325396
0.6278251864590535	0.2977872916201747
0.6357396584937476	0.24919280437029911
0.6441209149760018	0.24676308000780978
0.6522690985748915	0.23400702710471677
0.6604176015141968	0.23400702710471677
0.6685644243841816	0.16689665809408183
0.6763499679478279	0.1347932823028941
0.6835921354778308	0.09699756999743414
0.6906791466695482	0.061328589840133674
0.6972124725034986	0.03962907810522509
0.702784710884073	0.03005127192465551
0.71	0.00042
1.0	0.00042
