# CH4 EOS, Bethkenhagen et al. (2017), at 2000 K
# pressure (GPa)	Density (g/cm3)
0.01	0.5924357025866556
4.074195103961229	 0.5924357025866556
4.4702589071706	 0.6085380579786763
4.904825170917552	 0.6275277840749807
5.392995870882143	 0.6449543314987256
5.911029024181056	 0.6623452509185359
6.483377800245426	 0.6769438255300955
7.108647030782556	 0.6976014143888349
7.80701086039131	 0.7192426034172534
8.557928621005576	 0.7429981448219349
9.389868592150869	 0.7656219273194091
10.302683754740318	 0.7907396700921963
11.304236210389405	 0.8153229928059877
12.403152357412125	 0.8415095756967661
13.60889719022234	 0.8692661899785907
14.931855821585927	 0.8956198366270565
16.383422929877163	 0.9270167851360407
17.976100901750872	 0.9569443084397866
19.723607515535903	 0.9863374116845369
21.640994092829878	 1.0103863143393337
23.744775135938042	 1.036572897230112
26.05307056772707	 1.0643627402978764
28.585761799009425	 1.0953591037196135
31.364662967670892	 1.1284931473773314
34.41370882442872	 1.164833711389024
37.75916088348472	 1.2022431155187059
41.42983361365595	 1.2428590400023625
45.457342618171204	 1.2877503249579823
49.87637694071499	 1.329011861373493
54.724997843095686	 1.3748607945742428
60.04496662792088	 1.4202864995888573
65.88210432982218	 1.4662466246624675
72.28668637326341	 1.50846580932311
79.31387559612637	 1.5522882541607377
87.02419736872257	 1.5998516394113347
95.48406090043889	 1.6522248051928896
104.7663312240506	 1.7078044913284183
114.95095678421242	 1.7665906978179198
126.12565803557031	 1.8307211048973757
138.3866829814015	 1.8953859320358273
151.8396361602647	 1.9600507591742788
166.60038822073673	 2.02364674619474
182.79607391843655	 2.089380413451182
200.56618713110151	 2.1599238612385836
220.06378232312187	 2.2347426694979493
236.67110070084865	 2.3075492467279535
253.98978915766068	 2.3688821043058113
278.6808408385985	 2.462940034689013
305.77217811815206	 2.563945425839158
335.4971394150086	 2.6724326978152373
368.1117466225469	 2.790539530853236
390.94957034366564	 2.8792191350282597
414.2465935382997	 2.950865548551876
454.51665354200156	 3.070575641766861
498.7014777417099	 3.1913545750998367
545.4095507058961	 3.3083199417041333
600.3746748463509	 3.4286370812938243
658.7387617402368	 3.5531569550397677
722.776583356241	 3.684089869493657
784.1717424204292	 3.8276558803421334
851.7024441593131	 3.9469319448608533
927.2240711764188	 4.082919924949703
993.7450110600363	 4.201928061658625
