# NH3 EOS, Bethkenhagen et al. (2017), at 2000 K
# pressure (GPa)	Density (g/cm3)
0.01	0.6052959096207688
2.092571133090787	 0.6052959096207688
2.312189486342872	 0.6236443316462799
2.5191958911197063	 0.6539281349893562
2.7640939090610153	 0.6790458777621424
3.0424062212769063	 0.713783181596849
3.32762595653823	 0.7335567237796807
3.651113702798428	 0.7495893255495449
4.006048589857277	 0.7731038081453461
4.395487681470183	 0.7966182907411463
4.949844669285262	 0.8270705759100503
5.42213358611391	 0.8510749435599303
5.954811880513893	 0.8831943402984122
6.5336956552500585	 0.917397224074123
7.168854326889242	 0.9430493869059049
7.865758534201531	 0.969770389855678
8.557928621005576	 0.9933442524580345
9.63047990595783	 1.0237468158142207
10.490573646379747	 1.039626726138657
11.618373666038295	 1.078257661831758
13.570692134503258	 1.1301854775641509
14.538342818218696	 1.1577429874134957
16.352745801950686	 1.2010555153876057
19.67376639644179	 1.289826031783508
21.82428434957605	 1.3410683840366175
23.94588354677986	 1.3935654966390842
26.273729284831337	 1.4438009821846585
28.82787136185808	 1.4924332075532458
31.730504846444163	 1.5407121039972846
34.70517868477615	 1.5809223843397753
38.07896533716034	 1.636726623482021
41.78072714504475	 1.6853588488506084
45.84234748272338	 1.7355943343961835
50.29880919571294	 1.7874330801187428
55.1884959089456	 1.8403406659592942
60.55352262596498	 1.8975236122718098
66.44009846658847	 1.9552409786433191
72.21051901232099	 2.0026707588791677
79.3913521984882	 2.061349793305471
85.4655631543523	 2.103828902796601
91.54125375505055	 2.1599238612385836
100.44023286322533	 2.2267263686130176
110.204306406087	 2.2967353963414237
120.91757261241263	 2.3699509444238025
132.6723051329919	 2.4431664925061813
147.11252030092055	 2.5158283041418894
160.05811041837603	 2.5794786785470114
175.24790661597876	 2.66976059752026
192.28424155519684	 2.7552678069595338
210.97672585314677	 2.8445159568117777
229.54223075803768	 2.9274104459626296
257.114947186612	 3.0215756001829686
272.8664242747677	 3.0873295994704826
290.6840062472942	 3.175856393388967
318.94220451926793	 3.283274825247057
348.47485328187497	 3.387967714804269
385.94891446285993	 3.49325709102403
415.1997512552002	 3.5819567436837345
443.1608488236684	 3.692066583707552
482.15806465030084	 3.802196702531655
550.7827854905024	 3.9783771819804943
586.610254751662	 4.079302356465152
636.8864353662688	 4.1948173058736575
692.9310923863104	 4.3286994273197825
745.2566143193477	 4.461682026701378
792.9691917197965	 4.5638547461303505
855.5791118765076	 4.697808375685344
915.2982097363652	 4.814447674275625
966.8761447013391	 4.96496835632041
