#P (Pa)	rho (kg/m3)
7.317394586748e+09	2.733146629326e+03
7.357720713597e+09	2.736947389478e+03
7.398206648315e+09	2.740748149630e+03
7.438852760281e+09	2.744548909782e+03
7.479659418989e+09	2.748349669934e+03
7.520626994054e+09	2.752150430086e+03
7.561755855205e+09	2.755951190238e+03
7.603046372289e+09	2.759751950390e+03
7.644498915267e+09	2.763552710542e+03
7.686113854211e+09	2.767353470694e+03
7.727891559309e+09	2.771154230846e+03
7.769832400859e+09	2.774954990998e+03
7.811936749269e+09	2.778755751150e+03
7.854204975057e+09	2.782556511302e+03
7.896637448849e+09	2.786357271454e+03
7.939234541379e+09	2.790158031606e+03
7.981996623485e+09	2.793958791758e+03
8.024924066114e+09	2.797759551910e+03
8.068017240314e+09	2.801560312062e+03
8.111276517238e+09	2.805361072214e+03
8.154702268139e+09	2.809161832366e+03
8.198294864374e+09	2.812962592519e+03
8.242054677399e+09	2.816763352671e+03
8.285982078769e+09	2.820564112823e+03
8.330077440136e+09	2.824364872975e+03
8.374341133250e+09	2.828165633127e+03
8.418773529958e+09	2.831966393279e+03
8.463375002201e+09	2.835767153431e+03
8.508145922013e+09	2.839567913583e+03
8.553086661524e+09	2.843368673735e+03
8.598197592953e+09	2.847169433887e+03
8.643479088611e+09	2.850970194039e+03
8.688931520900e+09	2.854770954191e+03
8.734555262310e+09	2.858571714343e+03
8.780350685419e+09	2.862372474495e+03
8.826318162892e+09	2.866173234647e+03
8.872458067480e+09	2.869973994799e+03
8.918770772020e+09	2.873774754951e+03
8.965256649431e+09	2.877575515103e+03
9.011916072718e+09	2.881376275255e+03
9.058749414965e+09	2.885177035407e+03
9.105757049337e+09	2.888977795559e+03
9.152939349083e+09	2.892778555711e+03
9.200296687526e+09	2.896579315863e+03
9.247829438071e+09	2.900380076015e+03
9.295537974197e+09	2.904180836167e+03
9.343422669462e+09	2.907981596319e+03
9.391483897496e+09	2.911782356471e+03
9.439722032006e+09	2.915583116623e+03
9.488137446771e+09	2.919383876775e+03
9.536730515642e+09	2.923184636927e+03
9.585501612542e+09	2.926985397079e+03
9.634451111462e+09	2.930786157231e+03
9.683579386466e+09	2.934586917383e+03
9.732886811682e+09	2.938387677536e+03
9.782373761310e+09	2.942188437688e+03
9.832040609612e+09	2.945989197840e+03
9.881887730918e+09	2.949789957992e+03
9.931915499621e+09	2.953590718144e+03
9.982124290180e+09	2.957391478296e+03
1.003251447711e+10	2.961192238448e+03
1.008308643500e+10	2.964992998600e+03
1.013384053849e+10	2.968793758752e+03
1.018477716228e+10	2.972594518904e+03
1.023589668113e+10	2.976395279056e+03
1.028719946986e+10	2.980196039208e+03
1.033868590334e+10	2.983996799360e+03
1.039035635650e+10	2.987797559512e+03
1.044221120434e+10	2.991598319664e+03
1.049425082189e+10	2.995399079816e+03
1.054647558423e+10	2.999199839968e+03
1.059888586653e+10	3.003000600120e+03
1.065148204397e+10	3.006801360272e+03
1.070426449180e+10	3.010602120424e+03
1.075723358531e+10	3.014402880576e+03
1.081038969985e+10	3.018203640728e+03
1.086373321081e+10	3.022004400880e+03
1.091726449364e+10	3.025805161032e+03
1.097098392380e+10	3.029605921184e+03
1.102489187683e+10	3.033406681336e+03
1.107898872830e+10	3.037207441488e+03
1.113327485383e+10	3.041008201640e+03
1.118775062907e+10	3.044808961792e+03
1.124241642972e+10	3.048609721944e+03
1.129727263152e+10	3.052410482096e+03
1.135231961023e+10	3.056211242248e+03
1.140755774169e+10	3.060012002400e+03
