# SiC (zinc-blende structure) EOS from Miozzi et al. (2018)
# Note that the zinc-blende to rock-salt phase transition occurs around 65-70 GPa
# Should switch to rock-salt EOS above that pressure
# Pressure (Pa)	Density (kg/m^3)
8.9061188074e+09	3.3372562601e+03
8.9672151352e+09	3.3380405723e+03
9.0283540008e+09	3.3388248844e+03
9.0895354124e+09	3.3396091965e+03
9.1507593778e+09	3.3403935086e+03
9.2120259050e+09	3.3411778207e+03
9.2733350020e+09	3.3419621328e+03
9.3346866768e+09	3.3427464450e+03
9.3960809373e+09	3.3435307571e+03
9.4575177915e+09	3.3443150692e+03
9.5189972473e+09	3.3450993813e+03
9.5805193127e+09	3.3458836934e+03
9.6420839957e+09	3.3466680056e+03
9.7036913042e+09	3.3474523177e+03
9.7653412461e+09	3.3482366298e+03
9.8270338296e+09	3.3490209419e+03
9.8887690623e+09	3.3498052540e+03
9.9505469525e+09	3.3505895661e+03
1.0012367508e+10	3.3513738783e+03
1.0074230737e+10	3.3521581904e+03
1.0136136646e+10	3.3529425025e+03
1.0198085245e+10	3.3537268146e+03
1.0260076541e+10	3.3545111267e+03
1.0322110543e+10	3.3552954389e+03
1.0384187257e+10	3.3560797510e+03
1.0446306692e+10	3.3568640631e+03
1.0508468856e+10	3.3576483752e+03
1.0570673756e+10	3.3584326873e+03
1.0632921402e+10	3.3592169994e+03
1.0695211800e+10	3.3600013116e+03
1.0757544959e+10	3.3607856237e+03
1.0819920886e+10	3.3615699358e+03
1.0882339590e+10	3.3623542479e+03
1.0944801078e+10	3.3631385600e+03
1.1007305359e+10	3.3639228722e+03
1.1069852440e+10	3.3647071843e+03
1.1132442329e+10	3.3654914964e+03
1.1195075034e+10	3.3662758085e+03
1.1257750563e+10	3.3670601206e+03
1.1320468925e+10	3.3678444327e+03
1.1383230126e+10	3.3686287449e+03
1.1446034176e+10	3.3694130570e+03
1.1508881081e+10	3.3701973691e+03
1.1571770849e+10	3.3709816812e+03
1.1634703490e+10	3.3717659933e+03
1.1697679010e+10	3.3725503055e+03
1.1760697417e+10	3.3733346176e+03
1.1823758720e+10	3.3741189297e+03
1.1886862926e+10	3.3749032418e+03
1.1950010044e+10	3.3756875539e+03
1.2013200080e+10	3.3764718660e+03
1.2076433044e+10	3.3772561782e+03
1.2139708943e+10	3.3780404903e+03
1.2203027784e+10	3.3788248024e+03
1.2266389577e+10	3.3796091145e+03
1.2329794328e+10	3.3803934266e+03
1.2393242045e+10	3.3811777388e+03
1.2456732738e+10	3.3819620509e+03
1.2520266412e+10	3.3827463630e+03
1.2583843077e+10	3.3835306751e+03
1.2647462740e+10	3.3843149872e+03
1.2711125410e+10	3.3850992993e+03
1.2774831093e+10	3.3858836115e+03
1.2838579799e+10	3.3866679236e+03
1.2902371534e+10	3.3874522357e+03
1.2966206307e+10	3.3882365478e+03
1.3030084126e+10	3.3890208599e+03
1.3094004998e+10	3.3898051721e+03
1.3157968932e+10	3.3905894842e+03
1.3221975935e+10	3.3913737963e+03
1.3286026015e+10	3.3921581084e+03
1.3350119180e+10	3.3929424205e+03
1.3414255439e+10	3.3937267326e+03
1.3478434798e+10	3.3945110448e+03
1.3542657266e+10	3.3952953569e+03
1.3606922851e+10	3.3960796690e+03
1.3671231560e+10	3.3968639811e+03
1.3735583402e+10	3.3976482932e+03
1.3799978384e+10	3.3984326054e+03
1.3864416514e+10	3.3992169175e+03
1.3928897801e+10	3.4000012296e+03
1.3993422251e+10	3.4007855417e+03
1.4057989873e+10	3.4015698538e+03
1.4122600675e+10	3.4023541659e+03
1.4187254665e+10	3.4031384781e+03
1.4251951850e+10	3.4039227902e+03
1.4316692239e+10	3.4047071023e+03
1.4381475838e+10	3.4054914144e+03
1.4446302657e+10	3.4062757265e+03
1.4511172703e+10	3.4070600387e+03
1.4576085984e+10	3.4078443508e+03
1.4641042507e+10	3.4086286629e+03
1.4706042281e+10	3.4094129750e+03
1.4771085314e+10	3.4101972871e+03
1.4836171613e+10	3.4109815992e+03
1.4901301186e+10	3.4117659114e+03
1.4966474041e+10	3.4125502235e+03
1.5031690186e+10	3.4133345356e+03
1.5096949629e+10	3.4141188477e+03
1.5162252377e+10	3.4149031598e+03
1.5227598439e+10	3.4156874720e+03
1.5292987823e+10	3.4164717841e+03
1.5358420535e+10	3.4172560962e+03
1.5423896585e+10	3.4180404083e+03
1.5489415980e+10	3.4188247204e+03
1.5554978727e+10	3.4196090325e+03
1.5620584835e+10	3.4203933447e+03
1.5686234312e+10	3.4211776568e+03
1.5751927164e+10	3.4219619689e+03
1.5817663401e+10	3.4227462810e+03
1.5883443031e+10	3.4235305931e+03
1.5949266060e+10	3.4243149053e+03
1.6015132496e+10	3.4250992174e+03
1.6081042349e+10	3.4258835295e+03
1.6146995625e+10	3.4266678416e+03
1.6212992332e+10	3.4274521537e+03
1.6279032478e+10	3.4282364658e+03
1.6345116071e+10	3.4290207780e+03
1.6411243119e+10	3.4298050901e+03
1.6477413629e+10	3.4305894022e+03
1.6543627610e+10	3.4313737143e+03
1.6609885070e+10	3.4321580264e+03
1.6676186015e+10	3.4329423386e+03
1.6742530455e+10	3.4337266507e+03
1.6808918396e+10	3.4345109628e+03
1.6875349847e+10	3.4352952749e+03
1.6941824815e+10	3.4360795870e+03
1.7008343309e+10	3.4368638991e+03
1.7074905336e+10	3.4376482113e+03
1.7141510904e+10	3.4384325234e+03
1.7208160021e+10	3.4392168355e+03
1.7274852694e+10	3.4400011476e+03
1.7341588932e+10	3.4407854597e+03
1.7408368741e+10	3.4415697719e+03
1.7475192132e+10	3.4423540840e+03
1.7542059110e+10	3.4431383961e+03
1.7608969683e+10	3.4439227082e+03
1.7675923860e+10	3.4447070203e+03
1.7742921649e+10	3.4454913324e+03
1.7809963057e+10	3.4462756446e+03
1.7877048092e+10	3.4470599567e+03
1.7944176761e+10	3.4478442688e+03
1.8011349074e+10	3.4486285809e+03
1.8078565036e+10	3.4494128930e+03
1.8145824657e+10	3.4501972052e+03
1.8213127944e+10	3.4509815173e+03
1.8280474905e+10	3.4517658294e+03
1.8347865548e+10	3.4525501415e+03
1.8415299880e+10	3.4533344536e+03
1.8482777909e+10	3.4541187657e+03
1.8550299644e+10	3.4549030779e+03
1.8617865091e+10	3.4556873900e+03
1.8685474259e+10	3.4564717021e+03
1.8753127156e+10	3.4572560142e+03
1.8820823789e+10	3.4580403263e+03
1.8888564166e+10	3.4588246385e+03
1.8956348295e+10	3.4596089506e+03
1.9024176183e+10	3.4603932627e+03
1.9092047840e+10	3.4611775748e+03
1.9159963271e+10	3.4619618869e+03
1.9227922486e+10	3.4627461990e+03
1.9295925491e+10	3.4635305112e+03
1.9363972295e+10	3.4643148233e+03
1.9432062906e+10	3.4650991354e+03
1.9500197331e+10	3.4658834475e+03
1.9568375578e+10	3.4666677596e+03
1.9636597655e+10	3.4674520718e+03
1.9704863569e+10	3.4682363839e+03
1.9773173329e+10	3.4690206960e+03
1.9841526942e+10	3.4698050081e+03
1.9909924416e+10	3.4705893202e+03
1.9978365759e+10	3.4713736323e+03
2.0046850978e+10	3.4721579445e+03
2.0115380082e+10	3.4729422566e+03
2.0183953077e+10	3.4737265687e+03
2.0252569973e+10	3.4745108808e+03
2.0321230776e+10	3.4752951929e+03
2.0389935495e+10	3.4760795051e+03
2.0458684137e+10	3.4768638172e+03
