# Diamond EOS from Swift et al. (2022), using a modified Vinet form
# Pressure (Pa)	Density (kg/m^3)
8.0305978403e+10	4.0575287644e+03
8.0907656468e+10	4.0610305153e+03
8.1510452031e+10	4.0645322661e+03
8.2114365030e+10	4.0680340170e+03
8.2719395404e+10	4.0715357679e+03
8.3325543090e+10	4.0750375188e+03
8.3932808026e+10	4.0785392696e+03
8.4541190149e+10	4.0820410205e+03
8.5150689395e+10	4.0855427714e+03
8.5761305700e+10	4.0890445223e+03
8.6373039000e+10	4.0925462731e+03
8.6985889228e+10	4.0960480240e+03
8.7599856320e+10	4.0995497749e+03
8.8214940209e+10	4.1030515258e+03
8.8831140829e+10	4.1065532766e+03
8.9448458112e+10	4.1100550275e+03
9.0066891990e+10	4.1135567784e+03
9.0686442395e+10	4.1170585293e+03
9.1307109259e+10	4.1205602801e+03
9.1928892512e+10	4.1240620310e+03
9.2551792085e+10	4.1275637819e+03
9.3175807907e+10	4.1310655328e+03
9.3800939908e+10	4.1345672836e+03
9.4427188017e+10	4.1380690345e+03
9.5054552161e+10	4.1415707854e+03
9.5683032268e+10	4.1450725363e+03
9.6312628267e+10	4.1485742871e+03
9.6943340084e+10	4.1520760380e+03
9.7575167644e+10	4.1555777889e+03
9.8208110875e+10	4.1590795398e+03
9.8842169702e+10	4.1625812906e+03
9.9477344050e+10	4.1660830415e+03
1.0011363384e+11	4.1695847924e+03
1.0075103900e+11	4.1730865433e+03
1.0138955946e+11	4.1765882941e+03
1.0202919513e+11	4.1800900450e+03
1.0266994594e+11	4.1835917959e+03
1.0331181181e+11	4.1870935468e+03
1.0395479266e+11	4.1905952976e+03
1.0459888842e+11	4.1940970485e+03
1.0524409900e+11	4.1975987994e+03
1.0589042432e+11	4.2011005503e+03
1.0653786431e+11	4.2046023012e+03
1.0718641889e+11	4.2081040520e+03
1.0783608797e+11	4.2116058029e+03
1.0848687147e+11	4.2151075538e+03
1.0913876931e+11	4.2186093047e+03
1.0979178141e+11	4.2221110555e+03
1.1044590769e+11	4.2256128064e+03
1.1110114805e+11	4.2291145573e+03
1.1175750243e+11	4.2326163082e+03
1.1241497073e+11	4.2361180590e+03
1.1307355287e+11	4.2396198099e+03
1.1373324876e+11	4.2431215608e+03
1.1439405833e+11	4.2466233117e+03
1.1505598148e+11	4.2501250625e+03
1.1571901813e+11	4.2536268134e+03
1.1638316819e+11	4.2571285643e+03
1.1704843157e+11	4.2606303152e+03
1.1771480819e+11	4.2641320660e+03
1.1838229796e+11	4.2676338169e+03
1.1905090079e+11	4.2711355678e+03
1.1972061660e+11	4.2746373187e+03
1.2039144528e+11	4.2781390695e+03
1.2106338676e+11	4.2816408204e+03
1.2173644095e+11	4.2851425713e+03
1.2241060775e+11	4.2886443222e+03
1.2308588707e+11	4.2921460730e+03
1.2376227883e+11	4.2956478239e+03
1.2443978292e+11	4.2991495748e+03
1.2511839926e+11	4.3026513257e+03
1.2579812776e+11	4.3061530765e+03
1.2647896833e+11	4.3096548274e+03
1.2716092086e+11	4.3131565783e+03
1.2784398528e+11	4.3166583292e+03
1.2852816147e+11	4.3201600800e+03
1.2921344936e+11	4.3236618309e+03
1.2989984884e+11	4.3271635818e+03
1.3058735982e+11	4.3306653327e+03
1.3127598220e+11	4.3341670835e+03
1.3196571590e+11	4.3376688344e+03
1.3265656080e+11	4.3411705853e+03
1.3334851683e+11	4.3446723362e+03
1.3404158387e+11	4.3481740870e+03
1.3473576183e+11	4.3516758379e+03
1.3543105062e+11	4.3551775888e+03
1.3612745013e+11	4.3586793397e+03
1.3682496028e+11	4.3621810905e+03
1.3752358095e+11	4.3656828414e+03
1.3822331205e+11	4.3691845923e+03
1.3892415348e+11	4.3726863432e+03
1.3962610515e+11	4.3761880940e+03
1.4032916694e+11	4.3796898449e+03
1.4103333877e+11	4.3831915958e+03
1.4173862053e+11	4.3866933467e+03
1.4244501211e+11	4.3901950975e+03
1.4315251342e+11	4.3936968484e+03
1.4386112436e+11	4.3971985993e+03
1.4457084481e+11	4.4007003502e+03
1.4528167469e+11	4.4042021011e+03
1.4599361389e+11	4.4077038519e+03
1.4670666230e+11	4.4112056028e+03
1.4742081982e+11	4.4147073537e+03
1.4813608634e+11	4.4182091046e+03
1.4885246177e+11	4.4217108554e+03
1.4956994599e+11	4.4252126063e+03
1.5028853891e+11	4.4287143572e+03
1.5100824041e+11	4.4322161081e+03
1.5172905039e+11	4.4357178589e+03
1.5245096875e+11	4.4392196098e+03
1.5317399538e+11	4.4427213607e+03
1.5389813017e+11	4.4462231116e+03
1.5462337301e+11	4.4497248624e+03
1.5534972380e+11	4.4532266133e+03
1.5607718244e+11	4.4567283642e+03
1.5680574880e+11	4.4602301151e+03
1.5753542279e+11	4.4637318659e+03
1.5826620429e+11	4.4672336168e+03
1.5899809320e+11	4.4707353677e+03
1.5973108940e+11	4.4742371186e+03
1.6046519280e+11	4.4777388694e+03
1.6120040327e+11	4.4812406203e+03
1.6193672070e+11	4.4847423712e+03
1.6267414500e+11	4.4882441221e+03
1.6341267604e+11	4.4917458729e+03
1.6415231371e+11	4.4952476238e+03
1.6489305791e+11	4.4987493747e+03
1.6563490852e+11	4.5022511256e+03
1.6637786543e+11	4.5057528764e+03
1.6712192853e+11	4.5092546273e+03
1.6786709770e+11	4.5127563782e+03
1.6861337283e+11	4.5162581291e+03
1.6936075382e+11	4.5197598799e+03
1.7010924053e+11	4.5232616308e+03
1.7085883287e+11	4.5267633817e+03
1.7160953071e+11	4.5302651326e+03
1.7236133395e+11	4.5337668834e+03
1.7311424247e+11	4.5372686343e+03
1.7386825614e+11	4.5407703852e+03
1.7462337487e+11	4.5442721361e+03
1.7537959852e+11	4.5477738869e+03
1.7613692700e+11	4.5512756378e+03
1.7689536017e+11	4.5547773887e+03
1.7765489793e+11	4.5582791396e+03
1.7841554015e+11	4.5617808904e+03
1.7917728672e+11	4.5652826413e+03
1.7994013753e+11	4.5687843922e+03
1.8070409245e+11	4.5722861431e+03
1.8146915136e+11	4.5757878939e+03
1.8223531416e+11	4.5792896448e+03
1.8300258072e+11	4.5827913957e+03
1.8377095091e+11	4.5862931466e+03
1.8454042464e+11	4.5897948974e+03
1.8531100176e+11	4.5932966483e+03
1.8608268217e+11	4.5967983992e+03
1.8685546575e+11	4.6003001501e+03
1.8762935236e+11	4.6038019010e+03
1.8840434191e+11	4.6073036518e+03
1.8918043426e+11	4.6108054027e+03
1.8995762929e+11	4.6143071536e+03
1.9073592688e+11	4.6178089045e+03
1.9151532691e+11	4.6213106553e+03
1.9229582927e+11	4.6248124062e+03
1.9307743382e+11	4.6283141571e+03
1.9386014044e+11	4.6318159080e+03
1.9464394902e+11	4.6353176588e+03
1.9542885943e+11	4.6388194097e+03
1.9621487155e+11	4.6423211606e+03
1.9700198525e+11	4.6458229115e+03
1.9779020041e+11	4.6493246623e+03
1.9857951691e+11	4.6528264132e+03
1.9936993463e+11	4.6563281641e+03
2.0016145343e+11	4.6598299150e+03
2.0095407320e+11	4.6633316658e+03
2.0174779381e+11	4.6668334167e+03
2.0254261514e+11	4.6703351676e+03
2.0333853706e+11	4.6738369185e+03
2.0413555944e+11	4.6773386693e+03
2.0493368217e+11	4.6808404202e+03
2.0573290511e+11	4.6843421711e+03
2.0653322814e+11	4.6878439220e+03
2.0733465113e+11	4.6913456728e+03
2.0813717395e+11	4.6948474237e+03
2.0894079649e+11	4.6983491746e+03
2.0974551861e+11	4.7018509255e+03
2.1055134018e+11	4.7053526763e+03
2.1135826108e+11	4.7088544272e+03
2.1216628118e+11	4.7123561781e+03
2.1297540035e+11	4.7158579290e+03
2.1378561847e+11	4.7193596798e+03
2.1459693541e+11	4.7228614307e+03
2.1540935103e+11	4.7263631816e+03
2.1622286521e+11	4.7298649325e+03
2.1703747782e+11	4.7333666833e+03
2.1785318873e+11	4.7368684342e+03
2.1866999782e+11	4.7403701851e+03
2.1948790494e+11	4.7438719360e+03
2.2030690998e+11	4.7473736868e+03
2.2112701280e+11	4.7508754377e+03
2.2194821327e+11	4.7543771886e+03
2.2277051126e+11	4.7578789395e+03
2.2359390664e+11	4.7613806903e+03
2.2441839928e+11	4.7648824412e+03
2.2524398906e+11	4.7683841921e+03
2.2607067582e+11	4.7718859430e+03
2.2689845946e+11	4.7753876938e+03
2.2772733983e+11	4.7788894447e+03
2.2855731680e+11	4.7823911956e+03
2.2938839024e+11	4.7858929465e+03
2.3022056002e+11	4.7893946973e+03
2.3105382601e+11	4.7928964482e+03
2.3188818806e+11	4.7963981991e+03
2.3272364606e+11	4.7998999500e+03
2.3356019987e+11	4.8034017009e+03
2.3439784934e+11	4.8069034517e+03
2.3523659436e+11	4.8104052026e+03
2.3607643478e+11	4.8139069535e+03
2.3691737048e+11	4.8174087044e+03
2.3775940131e+11	4.8209104552e+03
2.3860252715e+11	4.8244122061e+03
2.3944674786e+11	4.8279139570e+03
2.4029206330e+11	4.8314157079e+03
2.4113847334e+11	4.8349174587e+03
2.4198597785e+11	4.8384192096e+03
