# Zeng et al. (2021) mantle EOS (Holzapfel EOS)
# Pressure (Pa)	Density (kg m-3)
4.814320e+12	1.695789e+04
4.905534e+12	1.708332e+04
4.998317e+12	1.720968e+04
5.092698e+12	1.733698e+04
5.188699e+12	1.746522e+04
5.286349e+12	1.759441e+04
5.385672e+12	1.772455e+04
5.486696e+12	1.785565e+04
5.589448e+12	1.798773e+04
5.693956e+12	1.812078e+04
5.800247e+12	1.825482e+04
5.908351e+12	1.838984e+04
6.018295e+12	1.852587e+04
6.130110e+12	1.866290e+04
6.243824e+12	1.880095e+04
6.359469e+12	1.894002e+04
6.477074e+12	1.908011e+04
6.596672e+12	1.922124e+04
6.718293e+12	1.936342e+04
6.841969e+12	1.950665e+04
6.967734e+12	1.965093e+04
7.095620e+12	1.979629e+04
7.225661e+12	1.994272e+04
7.357890e+12	2.009023e+04
7.492343e+12	2.023883e+04
7.629054e+12	2.038854e+04
7.768059e+12	2.053935e+04
7.909394e+12	2.069127e+04
8.053095e+12	2.084432e+04
8.199201e+12	2.099850e+04
8.347748e+12	2.115382e+04
8.498775e+12	2.131029e+04
8.652321e+12	2.146792e+04
8.808426e+12	2.162672e+04
8.967129e+12	2.178669e+04
9.128471e+12	2.194784e+04
9.292494e+12	2.211018e+04
9.459239e+12	2.227373e+04
9.628748e+12	2.243848e+04
9.801066e+12	2.260445e+04
9.976236e+12	2.277165e+04
1.015430e+13	2.294009e+04
1.033531e+13	2.310978e+04
1.051930e+13	2.328071e+04
1.070633e+13	2.345292e+04
1.089644e+13	2.362639e+04
1.108968e+13	2.380115e+04
1.128609e+13	2.397721e+04
1.148573e+13	2.415456e+04
1.168865e+13	2.433323e+04
1.189489e+13	2.451322e+04
1.210451e+13	2.469454e+04
1.231756e+13	2.487720e+04
1.253410e+13	2.506121e+04
1.275417e+13	2.524658e+04
1.297784e+13	2.543332e+04
1.320516e+13	2.562145e+04
1.343617e+13	2.581097e+04
1.367095e+13	2.600189e+04
1.390955e+13	2.619422e+04
1.415202e+13	2.638797e+04
1.439844e+13	2.658316e+04
1.464885e+13	2.677979e+04
1.490331e+13	2.697787e+04
1.516190e+13	2.717742e+04
1.542468e+13	2.737845e+04
1.569170e+13	2.758096e+04
1.596303e+13	2.778497e+04
1.623875e+13	2.799049e+04
1.651891e+13	2.819753e+04
1.680359e+13	2.840611e+04
1.709285e+13	2.861622e+04
1.738676e+13	2.882789e+04
1.768539e+13	2.904112e+04
1.798883e+13	2.925593e+04
1.829713e+13	2.947233e+04
1.861037e+13	2.969034e+04
1.892864e+13	2.990995e+04
1.925200e+13	3.013119e+04
1.958053e+13	3.035406e+04
1.991431e+13	3.057859e+04
2.025342e+13	3.080477e+04
2.059795e+13	3.103263e+04
2.094796e+13	3.126217e+04
2.130356e+13	3.149341e+04
2.166481e+13	3.172636e+04
2.203181e+13	3.196103e+04
2.240465e+13	3.219744e+04
2.278340e+13	3.243560e+04
2.316817e+13	3.267552e+04
2.355904e+13	3.291722e+04
2.395610e+13	3.316070e+04
2.435945e+13	3.340598e+04
2.476919e+13	3.365308e+04
2.518540e+13	3.390200e+04
2.560818e+13	3.415277e+04
2.603764e+13	3.440539e+04
2.647388e+13	3.465988e+04
2.691699e+13	3.491625e+04
2.736708e+13	3.517452e+04
2.782426e+13	3.543470e+04
2.828862e+13	3.569681e+04
2.876029e+13	3.596085e+04
2.923936e+13	3.622684e+04
2.972595e+13	3.649481e+04
3.022018e+13	3.676475e+04
3.072215e+13	3.703669e+04
3.123197e+13	3.731065e+04
3.174978e+13	3.758663e+04
3.227569e+13	3.786465e+04
3.280981e+13	3.814473e+04
3.335228e+13	3.842688e+04
3.390321e+13	3.871111e+04
3.446273e+13	3.899745e+04
3.503097e+13	3.928591e+04
3.560806e+13	3.957650e+04
3.619413e+13	3.986924e+04
3.678931e+13	4.016414e+04
3.739375e+13	4.046123e+04
3.800757e+13	4.076051e+04
3.863092e+13	4.106201e+04
3.926393e+13	4.136574e+04
3.990676e+13	4.167171e+04
4.055954e+13	4.197995e+04
4.122243e+13	4.229047e+04
4.189556e+13	4.260328e+04
4.257911e+13	4.291841e+04
4.327321e+13	4.323587e+04
4.397803e+13	4.355568e+04
4.469372e+13	4.387785e+04
4.542044e+13	4.420241e+04
4.615836e+13	4.452936e+04
4.690764e+13	4.485874e+04
4.766845e+13	4.519055e+04
4.844096e+13	4.552481e+04
4.922534e+13	4.586155e+04
5.002176e+13	4.620078e+04
5.083041e+13	4.654252e+04
5.165146e+13	4.688679e+04
5.248510e+13	4.723360e+04
5.333150e+13	4.758298e+04
5.419087e+13	4.793494e+04
5.506338e+13	4.828950e+04
5.594922e+13	4.864669e+04
5.684861e+13	4.900652e+04
5.776173e+13	4.936901e+04
5.868878e+13	4.973419e+04
5.962998e+13	5.010206e+04
6.058552e+13	5.047266e+04
6.155561e+13	5.084599e+04
6.254048e+13	5.122209e+04
6.354032e+13	5.160097e+04
6.455537e+13	5.198265e+04
6.558585e+13	5.236716e+04
6.663198e+13	5.275451e+04
6.769398e+13	5.314472e+04
6.877209e+13	5.353783e+04
6.986655e+13	5.393384e+04
7.097759e+13	5.433277e+04
7.210546e+13	5.473466e+04
7.325039e+13	5.513952e+04
7.441264e+13	5.554738e+04
7.559246e+13	5.595825e+04
7.679010e+13	5.637217e+04
7.800582e+13	5.678914e+04
7.923989e+13	5.720920e+04
8.049257e+13	5.763236e+04
8.176413e+13	5.805866e+04
8.305484e+13	5.848811e+04
8.436499e+13	5.892073e+04
8.569484e+13	5.935656e+04
8.704470e+13	5.979561e+04
8.841485e+13	6.023790e+04
8.980558e+13	6.068347e+04
9.121718e+13	6.113234e+04
9.264997e+13	6.158452e+04
9.410424e+13	6.204005e+04
9.558031e+13	6.249895e+04
9.707850e+13	6.296124e+04
9.859911e+13	6.342695e+04
1.001425e+14	6.389611e+04
1.017089e+14	6.436874e+04
1.032988e+14	6.484486e+04
1.049124e+14	6.532451e+04
1.065501e+14	6.580770e+04
1.082122e+14	6.629447e+04
1.098992e+14	6.678483e+04
1.116113e+14	6.727883e+04
1.133489e+14	6.777648e+04
1.151123e+14	6.827781e+04
1.169020e+14	6.878284e+04
1.187184e+14	6.929162e+04
1.205617e+14	6.980415e+04
1.224325e+14	7.032048e+04
1.243310e+14	7.084063e+04
1.262577e+14	7.136462e+04
1.282130e+14	7.189249e+04
1.301973e+14	7.242427e+04
1.322110e+14	7.295998e+04
1.342545e+14	7.349965e+04
1.363283e+14	7.404331e+04
1.384327e+14	7.459099e+04
1.405684e+14	7.514273e+04
1.427355e+14	7.569855e+04
1.449347e+14	7.625847e+04
1.471664e+14	7.682254e+04
1.494310e+14	7.739078e+04
1.517291e+14	7.796323e+04
1.540610e+14	7.853991e+04
1.564273e+14	7.912085e+04
1.588285e+14	7.970609e+04
1.612650e+14	8.029566e+04
1.637374e+14	8.088960e+04
1.662462e+14	8.148792e+04
1.687918e+14	8.209067e+04
1.713749e+14	8.269788e+04
1.739959e+14	8.330958e+04
1.766554e+14	8.392581e+04
1.793539e+14	8.454659e+04
1.820920e+14	8.517196e+04
1.848702e+14	8.580196e+04
1.876892e+14	8.643663e+04
1.905494e+14	8.707598e+04
1.934516e+14	8.772006e+04
1.963962e+14	8.836891e+04
1.993838e+14	8.902256e+04
2.024152e+14	8.968104e+04
2.054908e+14	9.034440e+04
2.086114e+14	9.101266e+04
2.117775e+14	9.168586e+04
2.149899e+14	9.236404e+04
2.182491e+14	9.304724e+04
2.215558e+14	9.373549e+04
2.249107e+14	9.442884e+04
2.283144e+14	9.512731e+04
2.317678e+14	9.583095e+04
2.352714e+14	9.653979e+04
2.388259e+14	9.725388e+04
2.424321e+14	9.797325e+04
2.460908e+14	9.869794e+04
2.498026e+14	9.942798e+04
2.535683e+14	1.001634e+05
2.573886e+14	1.009043e+05
2.612644e+14	1.016507e+05
2.651964e+14	1.024026e+05
2.691854e+14	1.031600e+05
2.732321e+14	1.039231e+05
2.773375e+14	1.046918e+05
2.815023e+14	1.054662e+05
2.857274e+14	1.062463e+05
2.900135e+14	1.070322e+05
2.943617e+14	1.078239e+05
2.987727e+14	1.086214e+05
3.032474e+14	1.094249e+05
3.077867e+14	1.102343e+05
3.123915e+14	1.110496e+05
3.170627e+14	1.118711e+05
3.218013e+14	1.126986e+05
3.266082e+14	1.135322e+05
3.314844e+14	1.143719e+05
3.364308e+14	1.152179e+05
3.414484e+14	1.160702e+05
3.465382e+14	1.169287e+05
3.517012e+14	1.177936e+05
3.569385e+14	1.186649e+05
3.622510e+14	1.195427e+05
3.676399e+14	1.204269e+05
3.731061e+14	1.213177e+05
3.786508e+14	1.222150e+05
3.842751e+14	1.231190e+05
3.899800e+14	1.240297e+05
3.957667e+14	1.249471e+05
4.016363e+14	1.258713e+05
4.075901e+14	1.268024e+05
4.136291e+14	1.277403e+05
4.197545e+14	1.286852e+05
4.259676e+14	1.296371e+05
4.322695e+14	1.305960e+05
4.386616e+14	1.315620e+05
4.451450e+14	1.325351e+05
4.517210e+14	1.335154e+05
4.583909e+14	1.345030e+05
4.651560e+14	1.354979e+05
4.720177e+14	1.365002e+05
4.789772e+14	1.375098e+05
4.860360e+14	1.385270e+05
4.931953e+14	1.395516e+05
5.004567e+14	1.405839e+05
5.078214e+14	1.416237e+05
5.152911e+14	1.426713e+05
5.228670e+14	1.437266e+05
5.305506e+14	1.447897e+05
5.383436e+14	1.458607e+05
5.462473e+14	1.469396e+05
5.542633e+14	1.480265e+05
5.623932e+14	1.491214e+05
5.706385e+14	1.502244e+05
5.790008e+14	1.513356e+05
5.874817e+14	1.524550e+05
5.960830e+14	1.535827e+05
6.048062e+14	1.547187e+05
6.136530e+14	1.558631e+05
6.226251e+14	1.570160e+05
6.317243e+14	1.581774e+05
6.409523e+14	1.593475e+05
6.503109e+14	1.605261e+05
6.598019e+14	1.617135e+05
6.694271e+14	1.629097e+05
6.791883e+14	1.641147e+05
6.890875e+14	1.653286e+05
6.991265e+14	1.665515e+05
7.093073e+14	1.677835e+05
7.196318e+14	1.690245e+05
7.301019e+14	1.702748e+05
7.407198e+14	1.715342e+05
7.514873e+14	1.728031e+05
7.624067e+14	1.740812e+05
7.734798e+14	1.753689e+05
7.847090e+14	1.766661e+05
7.960963e+14	1.779728e+05
8.076438e+14	1.792893e+05
8.193539e+14	1.806154e+05
8.312286e+14	1.819514e+05
8.432704e+14	1.832973e+05
8.554813e+14	1.846531e+05
8.678639e+14	1.860189e+05
8.804204e+14	1.873949e+05
8.931532e+14	1.887810e+05
9.060648e+14	1.901774e+05
9.191575e+14	1.915841e+05
9.324339e+14	1.930012e+05
9.458964e+14	1.944288e+05
9.595477e+14	1.958669e+05
9.733903e+14	1.973157e+05
9.874267e+14	1.987752e+05
1.001660e+15	2.002455e+05
1.016092e+15	2.017267e+05
1.030726e+15	2.032188e+05
1.045565e+15	2.047220e+05
1.060612e+15	2.062363e+05
1.075869e+15	2.077618e+05
1.091339e+15	2.092986e+05
1.107025e+15	2.108467e+05
1.122931e+15	2.124063e+05
1.139058e+15	2.139774e+05
1.155411e+15	2.155602e+05
1.171991e+15	2.171546e+05
1.188803e+15	2.187609e+05
1.205850e+15	2.203790e+05
1.223134e+15	2.220091e+05
1.240659e+15	2.236513e+05
1.258428e+15	2.253056e+05
1.276445e+15	2.269721e+05
1.294712e+15	2.286510e+05
1.313234e+15	2.303423e+05
1.332013e+15	2.320461e+05
1.351053e+15	2.337625e+05
1.370359e+15	2.354916e+05
1.389932e+15	2.372335e+05
1.409778e+15	2.389882e+05
1.429899e+15	2.407560e+05
1.450300e+15	2.425368e+05
1.470984e+15	2.443308e+05
1.491955e+15	2.461381e+05
1.513217e+15	2.479587e+05
1.534774e+15	2.497928e+05
1.556630e+15	2.516405e+05
1.578789e+15	2.535018e+05
1.601255e+15	2.553769e+05
1.624032e+15	2.572659e+05
1.647125e+15	2.591688e+05
1.670537e+15	2.610859e+05
1.694274e+15	2.630171e+05
1.718339e+15	2.649625e+05
1.742736e+15	2.669224e+05
1.767472e+15	2.688968e+05
1.792549e+15	2.708858e+05
1.817972e+15	2.728895e+05
1.843747e+15	2.749080e+05
1.869878e+15	2.769414e+05
1.896370e+15	2.789899e+05
1.923228e+15	2.810535e+05
1.950456e+15	2.831324e+05
1.978060e+15	2.852267e+05
2.006044e+15	2.873365e+05
2.034415e+15	2.894618e+05
2.063176e+15	2.916029e+05
2.092334e+15	2.937599e+05
2.121894e+15	2.959328e+05
2.151860e+15	2.981217e+05
2.182240e+15	3.003269e+05
2.213037e+15	3.025483e+05
2.244258e+15	3.047862e+05
2.275909e+15	3.070407e+05
2.307995e+15	3.093118e+05
2.340522e+15	3.115997e+05
2.373497e+15	3.139045e+05
2.406924e+15	3.162264e+05
2.440811e+15	3.185655e+05
2.475163e+15	3.209219e+05
2.509987e+15	3.232957e+05
2.545289e+15	3.256870e+05
2.581075e+15	3.280961e+05
2.617352e+15	3.305229e+05
2.654127e+15	3.329677e+05
2.691406e+15	3.354306e+05
2.729196e+15	3.379118e+05
2.767504e+15	3.404112e+05
2.806337e+15	3.429292e+05
2.845701e+15	3.454658e+05
2.885605e+15	3.480211e+05
2.926055e+15	3.505954e+05
2.967058e+15	3.531886e+05
3.008623e+15	3.558011e+05
3.050756e+15	3.584329e+05
3.093465e+15	3.610842e+05
3.136758e+15	3.637550e+05
3.180643e+15	3.664457e+05
3.225127e+15	3.691562e+05
3.270219e+15	3.718868e+05
3.315927e+15	3.746375e+05
3.362259e+15	3.774087e+05
3.409223e+15	3.802003e+05
3.456829e+15	3.830125e+05
3.505083e+15	3.858456e+05
3.553996e+15	3.886996e+05
3.603576e+15	3.915748e+05
3.653832e+15	3.944712e+05
3.704773e+15	3.973890e+05
3.756407e+15	4.003284e+05
3.808746e+15	4.032896e+05
3.861796e+15	4.062726e+05
3.915570e+15	4.092777e+05
3.970075e+15	4.123051e+05
4.025322e+15	4.153548e+05
4.081320e+15	4.184271e+05
4.138080e+15	4.215222e+05
4.195612e+15	4.246401e+05
4.253926e+15	4.277811e+05
4.313032e+15	4.309453e+05
4.372942e+15	4.341329e+05
4.433666e+15	4.373441e+05
4.495214e+15	4.405790e+05
4.557598e+15	4.438379e+05
4.620828e+15	4.471209e+05
4.684917e+15	4.504282e+05
4.749876e+15	4.537599e+05
4.815715e+15	4.571163e+05
4.882448e+15	4.604975e+05
4.950085e+15	4.639037e+05
5.018639e+15	4.673351e+05
5.088122e+15	4.707919e+05
5.158546e+15	4.742742e+05
5.229924e+15	4.777824e+05
5.302269e+15	4.813164e+05
5.375593e+15	4.848766e+05
5.449910e+15	4.884632e+05
5.525233e+15	4.920762e+05
5.601574e+15	4.957160e+05
5.678948e+15	4.993827e+05
5.757369e+15	5.030766e+05
5.836849e+15	5.067977e+05
5.917404e+15	5.105464e+05
5.999048e+15	5.143228e+05
6.081794e+15	5.181272e+05
6.165658e+15	5.219597e+05
6.250655e+15	5.258205e+05
6.336799e+15	5.297099e+05
6.424106e+15	5.336281e+05
6.512591e+15	5.375752e+05
6.602270e+15	5.415516e+05
6.693158e+15	5.455573e+05
6.785273e+15	5.495927e+05
6.878629e+15	5.536579e+05
6.973243e+15	5.577532e+05
7.069133e+15	5.618788e+05
7.166315e+15	5.660349e+05
7.264805e+15	5.702218e+05
7.364622e+15	5.744396e+05
7.465783e+15	5.786886e+05
7.568306e+15	5.829691e+05
7.672209e+15	5.872812e+05
7.777510e+15	5.916252e+05
7.884227e+15	5.960013e+05
7.992379e+15	6.004098e+05
8.101986e+15	6.048509e+05
8.213067e+15	6.093249e+05
8.325640e+15	6.138320e+05
8.439726e+15	6.183724e+05
8.555345e+15	6.229463e+05
8.672517e+15	6.275542e+05
8.791263e+15	6.321961e+05
8.911603e+15	6.368723e+05
9.033558e+15	6.415831e+05
9.157150e+15	6.463288e+05
9.282400e+15	6.511095e+05
9.409331e+15	6.559257e+05
9.537964e+15	6.607774e+05
9.668322e+15	6.656651e+05
9.800427e+15	6.705889e+05
9.934303e+15	6.755491e+05
1.006997e+16	6.805460e+05
1.020746e+16	6.855799e+05
1.034679e+16	6.906510e+05
1.048799e+16	6.957596e+05
1.063107e+16	7.009060e+05
1.077608e+16	7.060904e+05
1.092302e+16	7.113133e+05
1.107193e+16	7.165747e+05
1.122283e+16	7.218751e+05
1.137575e+16	7.272146e+05
1.153071e+16	7.325937e+05
1.168775e+16	7.380126e+05
1.184688e+16	7.434715e+05
1.200815e+16	7.489708e+05
1.217157e+16	7.545108e+05
1.233717e+16	7.600918e+05
1.250498e+16	7.657140e+05
1.267503e+16	7.713779e+05
1.284736e+16	7.770836e+05
1.302198e+16	7.828315e+05
1.319894e+16	7.886220e+05
1.337826e+16	7.944553e+05
1.355996e+16	8.003317e+05
1.374410e+16	8.062516e+05
1.393069e+16	8.122153e+05
1.411976e+16	8.182231e+05
1.431136e+16	8.242753e+05
1.450551e+16	8.303724e+05
1.470225e+16	8.365145e+05
1.490161e+16	8.427020e+05
1.510362e+16	8.489353e+05
1.530833e+16	8.552147e+05
1.551576e+16	8.615406e+05
1.572595e+16	8.679132e+05
1.593894e+16	8.743330e+05
1.615477e+16	8.808003e+05
1.637346e+16	8.873154e+05
1.659507e+16	8.938787e+05
1.681962e+16	9.004905e+05
1.704716e+16	9.071513e+05
1.727773e+16	9.138613e+05
1.751136e+16	9.206210e+05
1.774809e+16	9.274306e+05
1.798797e+16	9.342907e+05
1.823104e+16	9.412014e+05
1.847733e+16	9.481633e+05
1.872690e+16	9.551767e+05
1.897978e+16	9.622420e+05
1.923602e+16	9.693595e+05
1.949566e+16	9.765296e+05
1.975874e+16	9.837528e+05
2.002532e+16	9.910295e+05
2.029543e+16	9.983599e+05
2.056912e+16	1.005745e+06
2.084645e+16	1.013184e+06
2.112745e+16	1.020678e+06
2.141218e+16	1.028228e+06
2.170068e+16	1.035834e+06
2.199300e+16	1.043495e+06
2.228920e+16	1.051214e+06
2.258932e+16	1.058990e+06
2.289341e+16	1.066823e+06
2.320153e+16	1.074714e+06
2.351373e+16	1.082663e+06
2.383007e+16	1.090672e+06
2.415059e+16	1.098739e+06
2.447535e+16	1.106866e+06
2.480441e+16	1.115053e+06
2.513782e+16	1.123301e+06
2.547565e+16	1.131610e+06
2.581794e+16	1.139980e+06
2.616475e+16	1.148413e+06
2.651615e+16	1.156907e+06
2.687219e+16	1.165465e+06
2.723294e+16	1.174085e+06
2.759846e+16	1.182770e+06
2.796880e+16	1.191519e+06
2.834404e+16	1.200332e+06
2.872423e+16	1.209211e+06
2.910944e+16	1.218155e+06
2.949974e+16	1.227165e+06
2.989519e+16	1.236243e+06
3.029585e+16	1.245387e+06
3.070181e+16	1.254599e+06
3.111312e+16	1.263879e+06
3.152985e+16	1.273227e+06
3.195208e+16	1.282645e+06
3.237988e+16	1.292133e+06
3.281332e+16	1.301690e+06
3.325247e+16	1.311319e+06
3.369741e+16	1.321018e+06
3.414821e+16	1.330790e+06
3.460495e+16	1.340633e+06
3.506771e+16	1.350550e+06
3.553656e+16	1.360539e+06
3.601159e+16	1.370603e+06
3.649287e+16	1.380741e+06
3.698049e+16	1.390954e+06
3.747453e+16	1.401243e+06
3.797506e+16	1.411607e+06
3.848219e+16	1.422049e+06
3.899598e+16	1.432567e+06
3.951654e+16	1.443164e+06
4.004394e+16	1.453839e+06
4.057828e+16	1.464592e+06
4.111964e+16	1.475426e+06
4.166811e+16	1.486339e+06
4.222380e+16	1.497333e+06
4.278679e+16	1.508409e+06
4.335718e+16	1.519566e+06
4.393506e+16	1.530806e+06
4.452053e+16	1.542129e+06
4.511369e+16	1.553536e+06
4.571464e+16	1.565027e+06
4.632348e+16	1.576604e+06
4.694031e+16	1.588265e+06
4.756524e+16	1.600013e+06
4.819837e+16	1.611848e+06
4.883981e+16	1.623771e+06
4.948966e+16	1.635782e+06
5.014803e+16	1.647881e+06
5.081505e+16	1.660070e+06
5.149080e+16	1.672350e+06
5.217542e+16	1.684720e+06
5.286902e+16	1.697181e+06
5.357170e+16	1.709735e+06
5.428360e+16	1.722381e+06
5.500482e+16	1.735122e+06
5.573549e+16	1.747956e+06
5.647573e+16	1.760885e+06
5.722567e+16	1.773910e+06
5.798543e+16	1.787031e+06
5.875514e+16	1.800250e+06
5.953492e+16	1.813566e+06
6.032492e+16	1.826980e+06
6.112525e+16	1.840494e+06
6.193606e+16	1.854108e+06
6.275747e+16	1.867823e+06
6.358963e+16	1.881638e+06
6.443268e+16	1.895557e+06
6.528675e+16	1.909578e+06
6.615199e+16	1.923702e+06
6.702855e+16	1.937932e+06
6.791656e+16	1.952266e+06
6.881618e+16	1.966707e+06
6.972756e+16	1.981254e+06
7.065085e+16	1.995909e+06
7.158620e+16	2.010672e+06
7.253377e+16	2.025545e+06
7.349372e+16	2.040528e+06
7.446620e+16	2.055621e+06
7.545139e+16	2.070826e+06
7.644944e+16	2.086143e+06
7.746051e+16	2.101574e+06
7.848479e+16	2.117119e+06
7.952243e+16	2.132779e+06
8.057362e+16	2.148555e+06
8.163851e+16	2.164447e+06
8.271731e+16	2.180457e+06
8.381017e+16	2.196586e+06
8.491729e+16	2.212833e+06
8.603884e+16	2.229201e+06
8.717502e+16	2.245690e+06
8.832601e+16	2.262301e+06
8.949200e+16	2.279035e+06
9.067319e+16	2.295893e+06
9.186978e+16	2.312875e+06
9.308195e+16	2.329983e+06
9.430992e+16	2.347217e+06
9.555388e+16	2.364579e+06
9.681405e+16	2.382070e+06
