# Zeng et al. (2021) core EOS (Holzapfel EOS)
# Pressure (Pa)	Density (kg m-3)
6.354644e+12	3.240100e+04
6.486642e+12	3.262895e+04
6.621110e+12	3.285850e+04
6.758090e+12	3.308966e+04
6.897626e+12	3.332245e+04
7.039761e+12	3.355688e+04
7.184538e+12	3.379295e+04
7.332004e+12	3.403069e+04
7.482204e+12	3.427010e+04
7.635184e+12	3.451120e+04
7.790992e+12	3.475399e+04
7.949675e+12	3.499848e+04
8.111281e+12	3.524470e+04
8.275861e+12	3.549265e+04
8.443464e+12	3.574235e+04
8.614141e+12	3.599380e+04
8.787944e+12	3.624702e+04
8.964926e+12	3.650202e+04
9.145140e+12	3.675882e+04
9.328640e+12	3.701742e+04
9.515480e+12	3.727784e+04
9.705718e+12	3.754010e+04
9.899409e+12	3.780420e+04
1.009661e+13	3.807015e+04
1.029738e+13	3.833798e+04
1.050179e+13	3.860769e+04
1.070988e+13	3.887930e+04
1.092172e+13	3.915282e+04
1.113737e+13	3.942827e+04
1.135691e+13	3.970565e+04
1.158038e+13	3.998498e+04
1.180785e+13	4.026628e+04
1.203940e+13	4.054956e+04
1.227509e+13	4.083483e+04
1.251499e+13	4.112211e+04
1.275916e+13	4.141141e+04
1.300768e+13	4.170274e+04
1.326061e+13	4.199613e+04
1.351804e+13	4.229157e+04
1.378003e+13	4.258910e+04
1.404666e+13	4.288872e+04
1.431800e+13	4.319045e+04
1.459414e+13	4.349430e+04
1.487514e+13	4.380028e+04
1.516110e+13	4.410842e+04
1.545208e+13	4.441873e+04
1.574817e+13	4.473122e+04
1.604946e+13	4.504591e+04
1.635603e+13	4.536282e+04
1.666797e+13	4.568195e+04
1.698535e+13	4.600333e+04
1.730827e+13	4.632697e+04
1.763683e+13	4.665288e+04
1.797110e+13	4.698109e+04
1.831118e+13	4.731161e+04
1.865717e+13	4.764445e+04
1.900917e+13	4.797963e+04
1.936725e+13	4.831718e+04
1.973154e+13	4.865709e+04
2.010212e+13	4.899940e+04
2.047909e+13	4.934412e+04
2.086256e+13	4.969126e+04
2.125264e+13	5.004084e+04
2.164942e+13	5.039289e+04
2.205301e+13	5.074741e+04
2.246353e+13	5.110442e+04
2.288108e+13	5.146395e+04
2.330578e+13	5.182600e+04
2.373774e+13	5.219060e+04
2.417707e+13	5.255777e+04
2.462389e+13	5.292752e+04
2.507832e+13	5.329987e+04
2.554049e+13	5.367484e+04
2.601051e+13	5.405245e+04
2.648850e+13	5.443272e+04
2.697460e+13	5.481566e+04
2.746893e+13	5.520129e+04
2.797162e+13	5.558964e+04
2.848280e+13	5.598072e+04
2.900261e+13	5.637455e+04
2.953118e+13	5.677115e+04
3.006865e+13	5.717054e+04
3.061516e+13	5.757274e+04
3.117085e+13	5.797777e+04
3.173586e+13	5.838566e+04
3.231035e+13	5.879641e+04
3.289446e+13	5.921004e+04
3.348833e+13	5.962659e+04
3.409213e+13	6.004607e+04
3.470600e+13	6.046851e+04
3.533011e+13	6.089391e+04
3.596460e+13	6.132230e+04
3.660966e+13	6.175371e+04
3.726543e+13	6.218816e+04
3.793208e+13	6.262566e+04
3.860979e+13	6.306624e+04
3.929873e+13	6.350992e+04
3.999906e+13	6.395672e+04
4.071097e+13	6.440666e+04
4.143463e+13	6.485977e+04
4.217022e+13	6.531606e+04
4.291794e+13	6.577557e+04
4.367796e+13	6.623831e+04
4.445048e+13	6.670430e+04
4.523569e+13	6.717358e+04
4.603378e+13	6.764615e+04
4.684495e+13	6.812205e+04
4.766941e+13	6.860129e+04
4.850735e+13	6.908391e+04
4.935898e+13	6.956993e+04
5.022451e+13	7.005936e+04
5.110416e+13	7.055223e+04
5.199815e+13	7.104858e+04
5.290668e+13	7.154841e+04
5.382998e+13	7.205176e+04
5.476828e+13	7.255866e+04
5.572181e+13	7.306912e+04
5.669079e+13	7.358317e+04
5.767547e+13	7.410083e+04
5.867607e+13	7.462214e+04
5.969285e+13	7.514712e+04
6.072605e+13	7.567578e+04
6.177592e+13	7.620817e+04
6.284271e+13	7.674431e+04
6.392667e+13	7.728421e+04
6.502807e+13	7.782791e+04
6.614717e+13	7.837544e+04
6.728424e+13	7.892682e+04
6.843955e+13	7.948208e+04
6.961337e+13	8.004125e+04
7.080598e+13	8.060435e+04
7.201767e+13	8.117141e+04
7.324872e+13	8.174246e+04
7.449943e+13	8.231753e+04
7.577008e+13	8.289664e+04
7.706098e+13	8.347983e+04
7.837244e+13	8.406712e+04
7.970476e+13	8.465854e+04
8.105825e+13	8.525412e+04
8.243323e+13	8.585390e+04
8.383002e+13	8.645789e+04
8.524894e+13	8.706613e+04
8.669034e+13	8.767865e+04
8.815454e+13	8.829548e+04
8.964188e+13	8.891665e+04
9.115271e+13	8.954219e+04
9.268738e+13	9.017213e+04
9.424625e+13	9.080650e+04
9.582966e+13	9.144533e+04
9.743799e+13	9.208866e+04
9.907161e+13	9.273652e+04
1.007309e+14	9.338893e+04
1.024162e+14	9.404593e+04
1.041280e+14	9.470755e+04
1.058666e+14	9.537383e+04
1.076323e+14	9.604480e+04
1.094258e+14	9.672049e+04
1.112472e+14	9.740093e+04
1.130971e+14	9.808615e+04
1.149758e+14	9.877620e+04
1.168838e+14	9.947110e+04
1.188216e+14	1.001709e+05
1.207895e+14	1.008756e+05
1.227880e+14	1.015853e+05
1.248175e+14	1.022999e+05
1.268786e+14	1.030196e+05
1.289716e+14	1.037444e+05
1.310971e+14	1.044742e+05
1.332555e+14	1.052092e+05
1.354472e+14	1.059494e+05
1.376729e+14	1.066948e+05
1.399329e+14	1.074454e+05
1.422278e+14	1.082013e+05
1.445581e+14	1.089625e+05
1.469243e+14	1.097290e+05
1.493270e+14	1.105010e+05
1.517666e+14	1.112784e+05
1.542437e+14	1.120612e+05
1.567589e+14	1.128496e+05
1.593127e+14	1.136435e+05
1.619056e+14	1.144430e+05
1.645383e+14	1.152481e+05
1.672113e+14	1.160589e+05
1.699252e+14	1.168754e+05
1.726805e+14	1.176976e+05
1.754780e+14	1.185256e+05
1.783182e+14	1.193595e+05
1.812017e+14	1.201992e+05
1.841291e+14	1.210448e+05
1.871011e+14	1.218964e+05
1.901184e+14	1.227539e+05
1.931815e+14	1.236175e+05
1.962912e+14	1.244872e+05
1.994481e+14	1.253630e+05
2.026529e+14	1.262449e+05
2.059063e+14	1.271331e+05
2.092090e+14	1.280274e+05
2.125616e+14	1.289281e+05
2.159650e+14	1.298352e+05
2.194198e+14	1.307486e+05
2.229268e+14	1.316684e+05
2.264868e+14	1.325947e+05
2.301004e+14	1.335275e+05
2.337685e+14	1.344669e+05
2.374919e+14	1.354129e+05
2.412712e+14	1.363655e+05
2.451074e+14	1.373249e+05
2.490013e+14	1.382910e+05
2.529536e+14	1.392639e+05
2.569653e+14	1.402436e+05
2.610371e+14	1.412302e+05
2.651699e+14	1.422238e+05
2.693646e+14	1.432244e+05
2.736221e+14	1.442320e+05
2.779432e+14	1.452467e+05
2.823289e+14	1.462685e+05
2.867801e+14	1.472975e+05
2.912978e+14	1.483338e+05
2.958827e+14	1.493773e+05
3.005360e+14	1.504282e+05
3.052586e+14	1.514865e+05
3.100515e+14	1.525522e+05
3.149157e+14	1.536254e+05
3.198521e+14	1.547062e+05
3.248618e+14	1.557946e+05
3.299459e+14	1.568906e+05
3.351054e+14	1.579943e+05
3.403413e+14	1.591059e+05
3.456548e+14	1.602252e+05
3.510469e+14	1.613524e+05
3.565188e+14	1.624875e+05
3.620716e+14	1.636306e+05
3.677063e+14	1.647818e+05
3.734243e+14	1.659411e+05
3.792266e+14	1.671085e+05
