# Grant et al. (2021) liquid iron EOS (https://ui.adsabs.harvard.edu/abs/2021JGRB..12620008G/abstract)
# Vinet fit to experimental data
# Pressure (Pa)	Density (kg m-3)
1.500599e+12	2.037764e+04
1.533701e+12	2.052570e+04
1.567443e+12	2.067483e+04
1.601834e+12	2.082505e+04
1.636886e+12	2.097637e+04
1.672610e+12	2.112878e+04
1.709016e+12	2.128230e+04
1.746116e+12	2.143693e+04
1.783922e+12	2.159269e+04
1.822444e+12	2.174958e+04
1.861696e+12	2.190761e+04
1.901688e+12	2.206678e+04
1.942433e+12	2.222712e+04
1.983943e+12	2.238862e+04
2.026231e+12	2.255129e+04
2.069308e+12	2.271514e+04
2.113189e+12	2.288019e+04
2.157885e+12	2.304643e+04
2.203410e+12	2.321389e+04
2.249778e+12	2.338255e+04
2.297001e+12	2.355245e+04
2.345094e+12	2.372358e+04
2.394070e+12	2.389595e+04
2.443943e+12	2.406957e+04
2.494728e+12	2.424446e+04
2.546438e+12	2.442062e+04
2.599089e+12	2.459805e+04
2.652695e+12	2.477678e+04
2.707272e+12	2.495680e+04
2.762834e+12	2.513814e+04
2.819397e+12	2.532079e+04
2.876976e+12	2.550476e+04
2.935587e+12	2.569008e+04
2.995247e+12	2.587674e+04
3.055971e+12	2.606476e+04
3.117776e+12	2.625414e+04
3.180678e+12	2.644490e+04
3.244695e+12	2.663704e+04
3.309843e+12	2.683058e+04
3.376140e+12	2.702553e+04
3.443602e+12	2.722189e+04
3.512249e+12	2.741968e+04
3.582098e+12	2.761891e+04
3.653166e+12	2.781959e+04
3.725473e+12	2.802172e+04
3.799038e+12	2.822532e+04
3.873878e+12	2.843040e+04
3.950013e+12	2.863697e+04
4.027463e+12	2.884505e+04
4.106247e+12	2.905463e+04
4.186384e+12	2.926574e+04
4.267896e+12	2.947838e+04
4.350802e+12	2.969256e+04
4.435123e+12	2.990831e+04
4.520880e+12	3.012562e+04
4.608094e+12	3.034450e+04
4.696786e+12	3.056498e+04
4.786978e+12	3.078706e+04
4.878692e+12	3.101076e+04
4.971949e+12	3.123608e+04
5.066774e+12	3.146304e+04
5.163187e+12	3.169164e+04
5.261213e+12	3.192191e+04
5.360874e+12	3.215385e+04
5.462194e+12	3.238747e+04
5.565197e+12	3.262280e+04
5.669907e+12	3.285983e+04
5.776348e+12	3.309858e+04
5.884545e+12	3.333907e+04
5.994523e+12	3.358131e+04
6.106308e+12	3.382531e+04
6.219924e+12	3.407108e+04
6.335398e+12	3.431863e+04
6.452756e+12	3.456799e+04
6.572025e+12	3.481915e+04
6.693231e+12	3.507214e+04
6.816401e+12	3.532697e+04
6.941564e+12	3.558365e+04
7.068746e+12	3.584220e+04
7.197976e+12	3.610263e+04
7.329282e+12	3.636494e+04
7.462693e+12	3.662916e+04
7.598238e+12	3.689531e+04
7.735946e+12	3.716338e+04
7.875848e+12	3.743341e+04
8.017973e+12	3.770539e+04
8.162352e+12	3.797935e+04
8.309016e+12	3.825531e+04
8.457995e+12	3.853326e+04
8.609321e+12	3.881324e+04
8.763027e+12	3.909525e+04
8.919144e+12	3.937931e+04
9.077704e+12	3.966544e+04
9.238742e+12	3.995364e+04
9.402289e+12	4.024394e+04
9.568380e+12	4.053635e+04
9.737050e+12	4.083088e+04
9.908331e+12	4.112755e+04
1.008226e+13	4.142638e+04
1.025887e+13	4.172737e+04
1.043820e+13	4.203056e+04
1.062028e+13	4.233595e+04
1.080516e+13	4.264355e+04
1.099286e+13	4.295340e+04
1.118342e+13	4.326549e+04
1.137689e+13	4.357985e+04
1.157329e+13	4.389650e+04
1.177268e+13	4.421544e+04
1.197508e+13	4.453671e+04
1.218054e+13	4.486030e+04
1.238909e+13	4.518625e+04
1.260079e+13	4.551457e+04
1.281565e+13	4.584527e+04
1.303374e+13	4.617838e+04
1.325508e+13	4.651390e+04
1.347973e+13	4.685187e+04
1.370772e+13	4.719228e+04
1.393910e+13	4.753518e+04
1.417390e+13	4.788056e+04
1.441218e+13	4.822845e+04
1.465398e+13	4.857888e+04
1.489933e+13	4.893184e+04
1.514830e+13	4.928737e+04
1.540092e+13	4.964549e+04
1.565723e+13	5.000621e+04
1.591729e+13	5.036954e+04
1.618114e+13	5.073552e+04
1.644884e+13	5.110416e+04
1.672042e+13	5.147548e+04
1.699593e+13	5.184949e+04
1.727543e+13	5.222622e+04
1.755897e+13	5.260569e+04
1.784659e+13	5.298791e+04
1.813834e+13	5.337292e+04
1.843428e+13	5.376072e+04
1.873446e+13	5.415133e+04
1.903892e+13	5.454479e+04
1.934773e+13	5.494111e+04
1.966093e+13	5.534030e+04
1.997859e+13	5.574239e+04
2.030074e+13	5.614741e+04
2.062745e+13	5.655537e+04
2.095878e+13	5.696629e+04
2.129478e+13	5.738020e+04
2.163550e+13	5.779712e+04
2.198100e+13	5.821706e+04
2.233134e+13	5.864006e+04
2.268658e+13	5.906613e+04
2.304678e+13	5.949530e+04
2.341199e+13	5.992758e+04
2.378228e+13	6.036301e+04
2.415770e+13	6.080160e+04
2.453833e+13	6.124337e+04
2.492421e+13	6.168836e+04
2.531541e+13	6.213658e+04
2.571200e+13	6.258805e+04
2.611403e+13	6.304281e+04
2.652157e+13	6.350087e+04
2.693470e+13	6.396226e+04
2.735346e+13	6.442700e+04
2.777793e+13	6.489512e+04
2.820817e+13	6.536663e+04
2.864426e+13	6.584158e+04
2.908625e+13	6.631997e+04
2.953423e+13	6.680185e+04
2.998825e+13	6.728722e+04
3.044838e+13	6.777612e+04
3.091471e+13	6.826857e+04
3.138729e+13	6.876460e+04
3.186620e+13	6.926423e+04
3.235152e+13	6.976750e+04
3.284331e+13	7.027442e+04
3.334166e+13	7.078502e+04
3.384662e+13	7.129934e+04
3.435829e+13	7.181739e+04
3.487673e+13	7.233920e+04
3.540203e+13	7.286481e+04
3.593426e+13	7.339423e+04
3.647349e+13	7.392751e+04
3.701981e+13	7.446465e+04
3.757330e+13	7.500570e+04
3.813404e+13	7.555068e+04
3.870211e+13	7.609963e+04
3.927758e+13	7.665255e+04
3.986055e+13	7.720950e+04
4.045109e+13	7.777049e+04
4.104930e+13	7.833556e+04
4.165525e+13	7.890474e+04
4.226903e+13	7.947805e+04
4.289073e+13	8.005553e+04
4.352043e+13	8.063720e+04
4.415823e+13	8.122310e+04
4.480421e+13	8.181325e+04
4.545845e+13	8.240770e+04
4.612106e+13	8.300646e+04
4.679213e+13	8.360957e+04
4.747174e+13	8.421707e+04
4.815998e+13	8.482898e+04
4.885696e+13	8.544533e+04
4.956276e+13	8.606617e+04
5.027748e+13	8.669151e+04
5.100123e+13	8.732140e+04
5.173408e+13	8.795586e+04
5.247615e+13	8.859494e+04
5.322753e+13	8.923866e+04
5.398832e+13	8.988705e+04
5.475863e+13	9.054016e+04
5.553854e+13	9.119801e+04
5.632817e+13	9.186064e+04
5.712762e+13	9.252809e+04
5.793700e+13	9.320039e+04
5.875640e+13	9.387757e+04
5.958593e+13	9.455967e+04
6.042571e+13	9.524672e+04
6.127583e+13	9.593877e+04
6.213641e+13	9.663585e+04
6.300756e+13	9.733799e+04
6.388939e+13	9.804524e+04
6.478200e+13	9.875762e+04
6.568551e+13	9.947518e+04
6.660005e+13	1.001980e+05
6.752571e+13	1.009260e+05
6.846261e+13	1.016593e+05
6.941088e+13	1.023979e+05
7.037062e+13	1.031419e+05
7.134196e+13	1.038914e+05
7.232502e+13	1.046462e+05
7.331991e+13	1.054066e+05
7.432676e+13	1.061724e+05
7.534570e+13	1.069439e+05
7.637683e+13	1.077209e+05
7.742030e+13	1.085036e+05
7.847622e+13	1.092920e+05
7.954472e+13	1.100861e+05
8.062592e+13	1.108859e+05
8.171997e+13	1.116916e+05
8.282698e+13	1.125031e+05
8.394709e+13	1.133206e+05
8.508043e+13	1.141439e+05
8.622713e+13	1.149733e+05
8.738732e+13	1.158087e+05
8.856115e+13	1.166501e+05
8.974875e+13	1.174977e+05
9.095025e+13	1.183514e+05
9.216579e+13	1.192113e+05
9.339552e+13	1.200775e+05
9.463957e+13	1.209500e+05
9.589809e+13	1.218288e+05
9.717122e+13	1.227140e+05
9.845911e+13	1.236056e+05
9.976189e+13	1.245037e+05
1.010797e+14	1.254083e+05
1.024127e+14	1.263195e+05
1.037611e+14	1.272373e+05
1.051250e+14	1.281618e+05
1.065045e+14	1.290930e+05
1.078998e+14	1.300310e+05
1.093110e+14	1.309758e+05
1.107384e+14	1.319275e+05
1.121820e+14	1.328860e+05
1.136420e+14	1.338515e+05
1.151186e+14	1.348241e+05
1.166120e+14	1.358037e+05
1.181222e+14	1.367904e+05
1.196495e+14	1.377843e+05
1.211941e+14	1.387855e+05
1.227560e+14	1.397939e+05
1.243355e+14	1.408096e+05
1.259327e+14	1.418327e+05
1.275478e+14	1.428632e+05
1.291810e+14	1.439012e+05
1.308324e+14	1.449468e+05
1.325022e+14	1.460000e+05
1.341906e+14	1.470608e+05
1.358978e+14	1.481293e+05
1.376239e+14	1.492056e+05
1.393691e+14	1.502897e+05
1.411336e+14	1.513817e+05
1.429176e+14	1.524816e+05
1.447212e+14	1.535895e+05
1.465447e+14	1.547055e+05
1.483882e+14	1.558295e+05
1.502520e+14	1.569618e+05
1.521361e+14	1.581022e+05
1.540408e+14	1.592510e+05
1.559663e+14	1.604081e+05
1.579128e+14	1.615736e+05
1.598805e+14	1.627476e+05
1.618695e+14	1.639301e+05
1.638801e+14	1.651212e+05
1.659124e+14	1.663209e+05
1.679668e+14	1.675294e+05
1.700432e+14	1.687466e+05
1.721421e+14	1.699727e+05
1.742635e+14	1.712077e+05
1.764077e+14	1.724517e+05
1.785749e+14	1.737047e+05
1.807652e+14	1.749668e+05
1.829790e+14	1.762381e+05
1.852164e+14	1.775186e+05
1.874776e+14	1.788084e+05
1.897629e+14	1.801076e+05
1.920724e+14	1.814163e+05
1.944064e+14	1.827344e+05
1.967652e+14	1.840621e+05
1.991488e+14	1.853995e+05
2.015576e+14	1.867466e+05
2.039917e+14	1.881034e+05
2.064515e+14	1.894702e+05
2.089371e+14	1.908468e+05
2.114487e+14	1.922335e+05
2.139867e+14	1.936303e+05
2.165511e+14	1.950371e+05
2.191424e+14	1.964543e+05
2.217606e+14	1.978817e+05
2.244060e+14	1.993194e+05
2.270790e+14	2.007677e+05
2.297796e+14	2.022264e+05
2.325082e+14	2.036958e+05
2.352650e+14	2.051758e+05
2.380503e+14	2.066666e+05
2.408643e+14	2.081682e+05
2.437072e+14	2.096807e+05
2.465793e+14	2.112042e+05
2.494809e+14	2.127388e+05
2.524122e+14	2.142845e+05
2.553735e+14	2.158415e+05
2.583651e+14	2.174098e+05
2.613871e+14	2.189894e+05
2.644399e+14	2.205806e+05
2.675237e+14	2.221833e+05
2.706388e+14	2.237976e+05
2.737855e+14	2.254237e+05
2.769640e+14	2.270616e+05
2.801746e+14	2.287114e+05
2.834176e+14	2.303732e+05
2.866933e+14	2.320471e+05
2.900019e+14	2.337331e+05
2.933437e+14	2.354313e+05
2.967191e+14	2.371420e+05
3.001282e+14	2.388650e+05
3.035714e+14	2.406006e+05
3.070490e+14	2.423487e+05
3.105612e+14	2.441096e+05
3.141084e+14	2.458833e+05
3.176908e+14	2.476698e+05
3.213088e+14	2.494694e+05
3.249626e+14	2.512820e+05
3.286525e+14	2.531077e+05
3.323789e+14	2.549468e+05
3.361421e+14	2.567992e+05
3.399423e+14	2.586651e+05
3.437799e+14	2.605445e+05
3.476551e+14	2.624376e+05
3.515684e+14	2.643444e+05
3.555199e+14	2.662651e+05
3.595101e+14	2.681997e+05
3.635392e+14	2.701484e+05
3.676076e+14	2.721113e+05
3.717156e+14	2.740884e+05
3.758636e+14	2.760799e+05
3.800518e+14	2.780859e+05
3.842805e+14	2.801064e+05
3.885502e+14	2.821416e+05
3.928611e+14	2.841916e+05
3.972136e+14	2.862565e+05
4.016081e+14	2.883364e+05
4.060448e+14	2.904314e+05
