# SiC (rock-salt structure) EOS
# low-density (below 7000.826816 kg/m^3) data come from Miozzi et al. (2018)
# high-density (above 7000.826816 kg/m^3) data come from Wilson & Militzer (2014)
# Pressure (Pa)	Density (kg/m^3)
3.5934963990e+10	4.4171912044e+03
3.6230235350e+10	4.4201780664e+03
3.6525902741e+10	4.4231649283e+03
3.6821966039e+10	4.4261517903e+03
3.7118425124e+10	4.4291386523e+03
3.7415279874e+10	4.4321255143e+03
3.7712530167e+10	4.4351123763e+03
3.8010175881e+10	4.4380992382e+03
3.8308216894e+10	4.4410861002e+03
3.8606653086e+10	4.4440729622e+03
3.8905484333e+10	4.4470598242e+03
3.9204710514e+10	4.4500466862e+03
3.9504331507e+10	4.4530335481e+03
3.9804347190e+10	4.4560204101e+03
4.0104757441e+10	4.4590072721e+03
4.0405562138e+10	4.4619941341e+03
4.0706761159e+10	4.4649809960e+03
4.1008354382e+10	4.4679678580e+03
4.1310341685e+10	4.4709547200e+03
4.1612722946e+10	4.4739415820e+03
4.1915498042e+10	4.4769284440e+03
4.2218666852e+10	4.4799153059e+03
4.2522229253e+10	4.4829021679e+03
4.2826185123e+10	4.4858890299e+03
4.3130534340e+10	4.4888758919e+03
4.3435276782e+10	4.4918627539e+03
4.3740412325e+10	4.4948496158e+03
4.4045940849e+10	4.4978364778e+03
4.4351862230e+10	4.5008233398e+03
4.4658176347e+10	4.5038102018e+03
4.4964883077e+10	4.5067970638e+03
4.5271982297e+10	4.5097839257e+03
4.5579473885e+10	4.5127707877e+03
4.5887357718e+10	4.5157576497e+03
4.6195633675e+10	4.5187445117e+03
4.6504301633e+10	4.5217313736e+03
4.6813361468e+10	4.5247182356e+03
4.7122813059e+10	4.5277050976e+03
4.7432656283e+10	4.5306919596e+03
4.7742891018e+10	4.5336788216e+03
4.8053517141e+10	4.5366656835e+03
4.8364534528e+10	4.5396525455e+03
4.8675943058e+10	4.5426394075e+03
4.8987742609e+10	4.5456262695e+03
4.9299933056e+10	4.5486131315e+03
4.9612514278e+10	4.5515999934e+03
